IPC Section,Category,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10
279,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals",A biker sped through a crowded market and hit a pedestrian,Someone drove recklessly on the wrong side of the highway,A car raced through a school zone despite speed limits,A drunk driver almost ran over kids near the park,A speeding truck damaged roadside shops in my area,An autorickshaw driver zigzagged dangerously on a busy road,A driver ignored red lights and caused multiple near-misses,A man was driving a bike while doing stunts on public road,A bus driver was on a video call while rashly overtaking others,My neighbor drives at high speed in narrow residential lanes
280,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals",A boat operator was racing with another boat on a crowded river,A ferry driver didn’t slow down while crossing near swimmers,A tourist speedboated dangerously near small fishing boats,The vessel was overloaded and speeding in poor weather,The driver of the boat ignored warning signs and collided with a dock,Jet skis are being operated recklessly near bathing ghats,A boat nearly hit children swimming near the bank due to speed,A cargo vessel was racing and nearly hit another boat,The boatman was drunk and speeding in a narrow canal,A fisherman was navigating his boat at high speed in low visibility
281,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals",Someone installed a fake light on the riverbank to mislead boats,A fisherman put false markers in water to confuse competitors,I saw fake buoys placed near a construction site in the waterway,A vessel used deceptive light signals during night navigation,Some locals have added misleading lights to divert traffic,A group marked a dangerous route as safe with fake signs,An abandoned boat displayed a false flag to confuse rescue boats,Unauthorized personnel installed wrong markers on the river route,I observed misleading light signals being used to divert boats to a trap,A false green buoy was placed where navigation is prohibited
282,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals",A boatman is carrying 50 people in a boat made for 20,I was forced to travel in an overloaded ferry with no life jackets,They transported tourists in a visibly damaged vessel,A local boat has cracks and is still used for passenger rides,The operator ignored warnings and overloaded the vessel during storm,People are being ferried across the river without safety gear,A fishing boat is being used as a passenger vessel beyond limit,A tourist boat engine was smoking and still made trips,A damaged watercraft is used to transport school children,The same overloaded boat runs every morning despite complaints
283,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals",A vendor placed his cart in the middle of a busy street causing traffic,Construction materials were dumped on the road blocking access,A parked truck on a narrow bridge caused a traffic jam,Unauthorized banner poles are blocking the footpath,An animal cart was left unattended on a highway,Street furniture has been placed blocking the main drain,Roadside encroachment is narrowing the public street,Vehicles are parked in a way blocking ambulance access,"Boats are tied across the canal, blocking others from passing",A temporary stall has blocked the pedestrian crossing
284,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals",A pesticide sprayer leaked chemicals in a crowded place,A worker poured acid in a drain near children playing,A chemical container was left open in a busy market,A lab disposed toxic substances near a residential building,An unsealed chlorine drum was left near the water tank,Paint thinner was stored carelessly in the sun near the school,Factory chemical waste is stored in public alleyway,A man cleans poison containers without gloves near others,Spraying toxic pesticide during school hours in the yard,Chemical powder was spilled on the sidewalk and ignored
285,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals",Someone burned garbage near a petrol station,A person handled kerosene carelessly in a crowded room,A shopkeeper stored fireworks with no safety in a residential area,Gas cylinders were stacked unsafely near open flames,A bonfire was lit next to fuel barrels without supervision,A child was seen playing with firecrackers near haystacks,Gas leak went unattended in a street-side tea stall,Trash with flammable items was burning unattended,A worker was smoking near open diesel drums,Petrol was spilled on the road and not cleaned up
286,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals",Fireworks were stored in a school storeroom without caution,A minor was found playing with explosives in a neighborhood,A wedding used explosives close to a gas station,Illegal explosives were being sold in the market area,A shop exploded due to poorly stored firecrackers,There are unlicensed explosives hidden in a warehouse,A laborer mishandled dynamite at a road construction site,Loud blasts from firecrackers injured pets and elderly nearby,Makeshift bombs were made by children without adult presence,TNT cartridges were seen near a festival pandal unattended
287,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals",A worker operated a crane without proper safety gear or training,A faulty elevator was still being used in a commercial building,Someone turned on a malfunctioning industrial saw in a crowded space,A factory machine had exposed wires and was running,A broken escalator was used despite warnings,Construction tools were left running without supervision,Kids were playing near a running concrete mixer at night,A machine operator left the equipment on and went away,The automatic gate malfunctioned and hit a child,The bakery used an old oven that had caught fire before
288,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals",A building collapsed during renovation due to poor safety measures,My neighbor is demolishing his house without safety barriers,Workers dropped debris onto the road during building repairs,Demolition is happening without warning signs or fencing,Repair work is ongoing and bricks keep falling near pedestrians,No safety net is used during top-floor construction near school,A building under repair has loose tiles dropping regularly,A crane used for demolition broke power lines,Laborers are breaking walls without safety helmets or gear,A cement block fell from the 3rd floor due to lack of precautions
289,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals",A pet dog attacked my child in the street due to owner’s negligence,My neighbor lets his aggressive dog roam freely in the society,A bull was left untied near a school causing panic,A man walks a monkey on leash that bites people,Stray cattle owned by a shopkeeper caused a traffic accident,Someone tied a goat too close to the main market path,A cow entered a residential building and damaged property,A camel being used for rides injured a senior citizen,Buffaloes tied in a narrow lane blocked movement and created risk,A horse carriage driver left the horse unattended on a busy road
290,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals",Loudspeaker is used at night despite complaints,Someone urinates openly near our colony gate daily,A tea stall blocks the whole footpath daily,Garbage is being dumped on the main road by a shop,A local band practices loudly at odd hours,A rickshaw stand is formed illegally outside the hospital,Spitting pan on walls outside temple has become common,Someone keeps honking near the school unnecessarily,People are cooking on the footpath using gas cylinders,A drum seller is playing loud music near residential area
291,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals",A street vendor continues to sell after being ordered to remove the stall,A factory continues polluting air despite official warning,The unauthorized construction continues despite municipal notice,An animal owner keeps releasing cattle despite fine and warning,DJ system is still played at night after police instructions,Illegal parking continues despite barricades and orders,Loudspeaker is still active in the mosque after notice to reduce volume,Public urination continues after multiple public board installations,Shop owner encroaches pavement even after civic penalty,Garbage dumping continues despite several fines
292,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals",A local shop sells magazines with obscene pictures,An online store is delivering obscene adult books to minors,A man displayed pornographic content in a public cyber café,Obscene posters are being sold outside my college gate,A street seller is displaying vulgar comics near a school,I found a newsstand selling banned obscene material,Mobile shops are distributing adult content in memory cards,Someone is showing adult videos openly on projector in street,College boys are selling vulgar books on street corners,I received obscene material via courier from a local vendor
293,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals",A stationery shop sold obscene comics to my 16-year-old brother.,Can someone gift adult DVDs to a minor legally?,I saw a vendor selling explicit material to school kids.,A tuition teacher gave porn magazines to boys.,Is selling adult comics to under-20s punishable?,My son received vulgar content on WhatsApp from a friend.,A man was giving out obscene pamphlets outside school.,Shopkeeper gave an erotic novel to my 18-year-old niece.,Can police take action if teens get adult books from fairs?,A minor downloaded adult comics from a shop computer.
294,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals",Someone was singing vulgar songs in a temple premises.,Boys were shouting obscene words at a girl in public park.,A couple was making out in public view at the beach.,Drunk men performing indecent dance in our colony lane.,Can I complain about obscene gestures during festival procession?,A group recited vulgar songs near a girls’ hostel.,Man was watching obscene video loudly in bus.,Is public vulgarity during protests punishable?,A person kept yelling lewd slogans in marketplace.,Can obscene performances in public places be stopped?
294A,"Offences Affecting the Public Health, Safety, Convenience, Decency and Morals",Someone opened a lottery counter without license in my area.,People distributing fake lottery coupons in trains.,My neighbor runs an illegal lottery WhatsApp group.,Vendor is selling printed chits for unauthorized lucky draws.,A shop is advertising unapproved lottery banners.,Is promoting cash-prize draws without permission a crime?,My cousin printed fake lottery tickets to sell locally.,I got cheated by an unlicensed lottery scheme.,People collecting money from villagers through illegal prize games.,A mobile app is offering unauthorized lottery—what can I do?
295,Offences Relating to Religion,Someone threw garbage inside a mosque.,Boys damaged idols in a temple during protest.,A drunk person urinated in front of a church cross.,Flags of a religious group were torn intentionally.,Someone spit on religious posters of our community.,Is breaking sacred objects in temples punishable?,I saw youths burning religious scriptures during a rally.,What action to take if someone defiles prayer area?,My shrine was painted with obscene slogans.,Is insulting religious objects considered a crime?
295A,Offences Relating to Religion,A social media post insulted our prophet intentionally.,A YouTuber mocked Hindu rituals in a sarcastic video.,My teacher made jokes about our religion in class.,Offensive memes targeting Sikh beliefs are circulating online.,Can I report someone for insulting religion in protest speech?,Religious group was abused during rally using mics.,A politician publicly ridiculed minority religious practices.,Video surfaced showing mocking of religious songs.,WhatsApp group spreading hate content targeting our religion.,Is criticizing religion in a film scene punishable?
296,Offences Relating to Religion,A group disrupted our prayer meeting by shouting slogans.,People entered our temple and started playing loud music.,Someone burst crackers outside mosque during namaz.,My neighbor disturbed a church mass with loud arguments.,Can we report people interrupting funeral rites?,Protesters created ruckus during our religious gathering.,Political rally disturbed our religious procession.,Man played vulgar songs near a spiritual discourse.,Can noise disruption during puja be punished?,Group of youths mocked hymns during prayer meet.
297,Offences Relating to Religion,Kids were playing cricket inside a graveyard.,Some men entered cremation ground and laughed during ritual.,Teenagers vandalized tombstones for fun.,A boy threw trash inside a burial site.,Can I complain about people trespassing a funeral site?,Man parked car in middle of funeral procession.,Some people damaged crosses in graveyard.,Is jumping over graves punishable?,People drinking alcohol near cremation grounds.,Crowd entered burial space and disrupted rites.
298,Offences Relating to Religion,A man made hand gestures mocking our religious rituals.,Neighbors kept objects near our house to insult our faith.,Someone passed insulting comments during our religious event.,Boys sang offensive songs targeting our religion.,Man mimicked our religious chanting to provoke us.,A vendor named his stall to hurt religious sentiments.,Can I take action against religious insults in public?,I was threatened with religiously charged words.,Is saying offensive religious slogans a crime?,Boy made faces during our religious procession.
299,Offences Affecting the Human Body – Of offences affecting life,A man hit my cousin so hard that he died later.,My uncle was beaten to death in a land dispute.,Can accidental killing still be punished under IPC?,My father was pushed off stairs and died.,A man caused death during a street fight.,Neighbor killed my dog mistaking it for thief—what’s the section?,My cousin died after being force-fed alcohol by friends.,Someone injured my brother fatally during Holi fight.,Is pushing someone in a lake leading to death a crime?,Can sudden rage killing be treated as murder?
300,Offences Affecting the Human Body – Of offences affecting life,My friend was murdered by a rival gang intentionally.,A girl was stabbed repeatedly by her stalker.,Man killed his wife brutally after argument.,Landlord killed tenant over rent dispute.,Robbers murdered shopkeeper during robbery.,Someone plotted and executed murder with hired killers.,Woman poisoned her in-laws deliberately—what IPC applies?,My brother’s murder was pre-planned—can I seek death penalty?,Is killing someone in revenge counted under this section?,Can accidental death ever be considered murder?
300(1),Offences Affecting the Human Body – Of offences affecting life,My uncle killed a thief in self-defense—will it be murder?,Man killed during sudden provocation—what law applies?,Someone died while protecting their property from a robber.,What if a person dies during a lawful medical operation?,Can an angry push causing death be treated as murder?,I hit someone accidentally and they died. Is it murder?,Can a person be punished for unintentional death in rage?,Is sudden fight killing without planning still murder?,Can defending one’s honor be an excuse in murder cases?,Does a mistake of fact apply to reduce murder charge?
301,Offences Affecting the Human Body – Of offences affecting life,Man aimed to kill X but shot Y instead—what IPC applies?,A bullet hit a bystander instead of the target—what happens?,Can killing an unintended person still be culpable homicide?,Who is responsible if an innocent dies in an attack?,My father killed a man accidentally while aiming at another.,Can the same murder punishment apply to unintended deaths?,"If a bomb meant for one kills another, what law applies?",What happens if a third party dies in a group fight?,My brother attacked a man but his friend died—what law?,What if collateral damage during a fight leads to death?
302,Offences Affecting the Human Body – Of offences affecting life,What is the punishment for murder under IPC?,Can someone get a death sentence for intentional murder?,My sister was killed brutally—what section applies?,How is life imprisonment defined under Section 302?,Is fine also imposed under IPC 302?,Can a juvenile be punished under IPC 302?,What is the difference between 302 and 304?,Can bail be granted in murder cases?,Is 302 a cognizable offence?,What does IPC say about planned murder?
303,Offences Affecting the Human Body – Of offences affecting life,What if a prisoner serving life commits murder again?,Is there a different punishment for convicts who kill again?,Section 303 is still applicable?,I read Section 303 was unconstitutional—is it true?,My uncle was already in jail when he killed another inmate.,Can a life convict still be sentenced again?,What IPC applies to a repeat murder by a prisoner?,Is death penalty compulsory under Section 303?,What did the Supreme Court say about Section 303?,How to handle a murder inside jail?
304,Offences Affecting the Human Body – Of offences affecting life,"My friend died due to fight, but there was no intent to kill—what law?",Can someone go to jail for killing without intention?,I caused death accidentally—will I go to prison for life?,What’s the punishment if I knew my act could kill someone?,How is 304 different from 302?,Can fine be imposed under IPC 304?,My cousin was jailed under 304 even without intent—why?,What if death occurred during self-defense but with excess force?,Can 304 apply to road rage killing?,Is bail allowed under Section 304?
304A,Offences Affecting the Human Body – Of offences affecting life,My friend died due to a doctor’s negligence—what action can I take?,Can rash driving that causes death be punished under IPC?,My landlord’s poor wiring killed someone—what section applies?,Is accidental fire death due to negligence punishable?,A nurse gave the wrong injection and my child died.,Will a careless act without intent count as murder?,Is 304A bailable and how long is the jail term?,What law applies to builder negligence causing death?,A worker died from a machine error—who is liable?,Can I file a case under IPC 304A for school trip negligence?
304B,Offences Affecting the Human Body – Of offences affecting life,My sister died in her in-laws’ home under suspicious conditions—what can I do?,What qualifies as dowry death under IPC?,Wife found dead within 7 years of marriage—what section applies?,My daughter was harassed for dowry and later died.,Is there automatic presumption of dowry death?,What is the minimum punishment for IPC 304B?,How to prove harassment before death for 304B case?,Can police arrest in a dowry death without warrant?,Is dowry-related suicide also covered under this law?,Is IPC 304B bailable or non-bailable?
305,Offences Affecting the Human Body – Of offences affecting life,My neighbor made a child commit suicide—what section applies?,Can a person be punished for pushing a mentally ill person to suicide?,What happens if someone encourages a minor to take their life?,Can intoxicated persons be protected under IPC 305?,Is abetment of suicide by parents punishable under this section?,A person instigated a child to end life over games.,What’s the punishment for causing a child’s suicide?,Can school staff be booked under IPC 305 for negligence?,Is IPC 305 punishable by death?,Is this section applicable to mentally challenged people too?
306,Offences Affecting the Human Body – Of offences affecting life,My cousin committed suicide after harassment—what section applies?,Can I file a case against my boss for abetment of suicide?,What is the punishment for abetment of suicide?,Is suicide note enough to charge someone under IPC 306?,My friend was forced to suicide after cyberbullying.,Is emotional blackmail considered abetment?,Can family members be charged under IPC 306?,What if a partner threatened to expose and the person died by suicide?,How is IPC 306 different from 305?,Is IPC 306 a cognizable and non-bailable offence?
307,Offences Affecting the Human Body – Of offences affecting life,My neighbor tried to stab me but I survived—what IPC section applies?,Can a person be jailed for attempting to kill someone?,"If no one is hurt, can it still be attempted murder?",What is the punishment for attempt to murder?,A gun was fired at me but missed—can I file a case?,If injury was caused in the attempt—will punishment increase?,Does threatening with a deadly weapon count under IPC 307?,My ex-partner tried to push me off a cliff.,Is attempted murder bailable or non-bailable?,Can IPC 307 be compounded in court?
307(1),Offences Affecting the Human Body – Of offences affecting life,A prisoner serving life sentence tried to kill someone—what law applies?,Is a convict on life sentence who commits attempted murder punished under 307(1)?,What is the punishment for a life convict attempting murder?,Can a life convict get death penalty for attempting murder again?,My uncle is a jail warden—one prisoner attacked another; what can be charged?,Are life convicts treated more harshly under IPC 307(1)?,What is the difference between IPC 307 and 307(1)?,Can parole be cancelled if a life convict attempts murder outside jail?,Can the death penalty be given just for attempt to murder?,What legal remedies does the victim have in this case?
308,Offences Affecting the Human Body – Of offences affecting life,Someone tried to cause serious injury without intent to kill—what IPC section applies?,What is attempt to culpable homicide and how is it punished?,My cousin hit someone with an iron rod—no death but serious injury—what IPC section?,Can a person be jailed for attempting to seriously hurt someone?,What if injury happened during a fight but not with intent to kill?,Can IPC 308 be applied for self-defense gone wrong?,What is the maximum punishment under IPC 308?,Is bail available in cases under IPC 308?,A drunk person attacked with a knife but missed—does IPC 308 apply?,What happens when the victim suffers no injury under this section?
309,Offences Affecting the Human Body – Of offences affecting life,Is suicide attempt still a crime in India?,Can police arrest someone for trying to commit suicide?,What is the law after the Mental Healthcare Act for IPC 309?,"If someone takes sleeping pills to attempt suicide, will they be punished?",What if someone jumps off a bridge but is rescued?,Are there support programs instead of jail for suicide attempts?,Can IPC 309 be used to harass victims who attempt suicide?,Is IPC 309 bailable or not?,Can I be sent to jail if I attempted suicide after failing exams?,Is counselling provided in IPC 309 cases?
310,Offences Affecting the Human Body – Of offences affecting life,"What is the legal definition of a ""thug"" under IPC?",Can a person be punished just for being associated with child-lifting or murder gangs?,My cousin is involved in gang activity that includes kidnapping—does IPC 310 apply?,Is thug-related offense punishable with life imprisonment?,"How is ""habitual association"" established under IPC 310?",Can police arrest someone under suspicion of being a thug?,What if someone commits robbery along with murder—IPC 310?,How is child-lifting by thugs covered under IPC?,Can IPC 310 be applied to organized criminal gangs?,Is IPC 310 compoundable or bailable?
311,Offences Affecting the Human Body – Of offences affecting life,What is the punishment for being declared a thug under IPC?,Can someone be given life imprisonment just for being a thug?,"If a person is arrested under IPC 310, how does IPC 311 apply?",Is there a trial required before declaring someone a thug?,Are habitual offenders punished under IPC 311?,How do police prove that someone is a thug under IPC?,Can a woman be charged under IPC 311?,Can IPC 311 be used during riot control cases?,What’s the legal difference between thug under IPC and gangster under local laws?,Can IPC 311 punishment be reduced by court?
312,Offences Affecting the Human Body – Miscarriage & Related Offences,Can a woman be punished for getting an abortion done willingly?,What is the punishment if someone causes miscarriage with consent?,My neighbor gave abortion pills to his wife—is this legal?,Can a husband be punished for forcing an abortion with wife's consent?,Is abortion allowed under Indian law without jail?,What if a midwife causes miscarriage at home with consent?,When is miscarriage considered an offence under IPC 312?,Is IPC 312 bailable if abortion is done with consent?,Does medical emergency protect against IPC 312?,Can I file a case under IPC 312 for improper abortion by a quack?
313,Offences Affecting the Human Body – Miscarriage & Related Offences,What if miscarriage was caused without the woman’s consent?,Can someone be jailed for life for forcing an abortion on a woman?,My wife was drugged and forced into miscarriage—what IPC section applies?,Is IPC 313 only for men or even doctors can be punished?,What’s the difference between IPC 312 and 313?,Can IPC 313 be applied for marital rape causing miscarriage?,Is medical evidence necessary to prove IPC 313?,Can IPC 313 be filed against in-laws who forced miscarriage?,Is this section non-bailable in all cases?,What are examples of miscarriage without consent?
314,Offences Affecting the Human Body – Miscarriage & Related Offences,What if a woman dies due to forced miscarriage?,My sister died after a failed abortion—what section applies?,Can IPC 314 be applied even if there was no intent to kill the woman?,What is the punishment under IPC 314?,Who is liable if an untrained person causes abortion and death?,Is life imprisonment possible under IPC 314?,Can a doctor be charged if abortion leads to death?,What is the difference between IPC 314 and 302?,Can IPC 314 be combined with dowry death in some cases?,What does “act done with intent to cause miscarriage” mean in law?
314(1),Offences Affecting the Human Body – Miscarriage & Related Offences,What is IPC 314(1)?,Does 314(1) only apply when the woman dies?,What’s the legal difference between 314 and 314(1)?,Is consent a factor under IPC 314(1)?,Can a midwife be prosecuted under IPC 314(1)?,Can this section be applied against someone performing illegal abortion?,What are aggravated forms of miscarriage under IPC?,Is 314(1) always non-bailable?,How is IPC 314(1) handled by courts in India?,What proof is required to file a case under 314(1)?
315,Offences Affecting the Human Body – Miscarriage & Related Offences,Can someone be punished for trying to kill a baby before birth?,What is the law if a child is killed just after being born?,My relative gave medicine to prevent a child from being born—what IPC section applies?,What’s the punishment under IPC 315?,Can IPC 315 be used in cases of female foeticide?,Is 315 applicable if the act was done before delivery?,What if the child died moments after birth due to intentional act?,Is IPC 315 used in forced abortions?,Is IPC 315 bailable?,Can a parent be booked under IPC 315 for prenatal harm?
316,Offences Affecting the Human Body – Miscarriage & Related Offences,What if someone kills an unborn child during a fight?,Is there a punishment if a pregnant woman loses baby due to assault?,Can causing miscarriage through violence be charged under IPC 316?,"What is meant by ""quick unborn child"" in IPC?",What’s the difference between IPC 316 and 304?,Can IPC 316 be used in road accidents affecting pregnant women?,What if a doctor’s mistake leads to unborn child’s death?,Is IPC 316 applicable in domestic violence?,Can police arrest without warrant in IPC 316?,Is IPC 316 bailable or non-bailable?
317,Offences Affecting the Human Body – Miscarriage & Related Offences,My neighbor left his infant on the street—can he be punished?,What does IPC 317 say about child abandonment?,Can parents be jailed for abandoning a newborn?,Is it a crime to leave a baby in unsafe public places?,What punishment exists for exposure of infants?,Can this be used against guardians too?,What if someone left the baby but later returned?,Is IPC 317 applicable if the child is left at orphanage?,Can IPC 317 be applied to street beggars using kids?,What is the process to report IPC 317 cases?
318,Offences Affecting the Human Body – Miscarriage & Related Offences,What happens if someone hides a newborn’s dead body?,Is it a crime to secretly dispose of a baby’s dead body?,Can IPC 318 be used if no one knew the child was born?,What if a maid hides a stillborn baby’s body?,Is burying a dead newborn in secret punishable?,Can IPC 318 be used for unwed mothers?,What is the punishment for concealing childbirth this way?,How does IPC 318 differ from murder or abortion charges?,Is IPC 318 bailable?,Can family force a girl to dispose baby’s body in secret?
319,Offences Affecting the Human Body – Of Hurt,What is the legal meaning of “hurt” in IPC?,Does slap or punch come under IPC 319?,Is minor injury in a fight covered under IPC 319?,What does IPC 319 include—just pain or mental trauma too?,Can IPC 319 be combined with assault sections?,Can IPC 319 apply in school fights?,Is it a punishable section or just a definition?,Can IPC 319 be used along with medical reports?,What are some common cases where IPC 319 applies?,Does IPC 319 apply to domestic violence without bruises?
320,Offences Affecting the Human Body – Of Hurt,"What is considered ""grievous hurt"" under IPC?",What’s the difference between IPC 319 and 320?,Is losing eyesight in one eye a grievous hurt?,Can breaking a bone be charged under IPC 320?,Can IPC 320 be applied in acid attack cases?,Does permanent disability come under IPC 320?,Is IPC 320 punishable directly or used with another section?,How does a doctor determine if injury is grievous?,Can IPC 320 be charged along with attempt to murder?,Can victims of grievous hurt claim compensation?
321,Offences Affecting the Human Body – Of Hurt,Someone beat me up during a road argument—what can I do?,Is pushing someone during a fight punishable?,Can minor injuries like scratches be reported under IPC?,My neighbor slapped me over a parking issue—can I file a case?,What if I got hurt while trying to stop a fight—can I complain?,What if a group of people injure one person together?,Is consensual fight still punishable under IPC 321?,Can a victim use CCTV footage for IPC 321 case?,"What is meant by ""voluntarily causing hurt""?",How do I prove someone intentionally hurt me?
322,Offences Affecting the Human Body – Of Hurt,My hand got fractured due to someone's hit—what section applies?,What is the difference between simple and grievous hurt?,Can eye damage due to an attack be reported under IPC?,A person broke my tooth during a quarrel—what can I file?,What does IPC 322 cover in terms of injury severity?,Is surgery report needed to file IPC 322 complaint?,Can I claim IPC 322 if I’m permanently scarred?,Are threats and grievous hurt booked under same law?,How long does it take to get bail in IPC 322 case?,Can IPC 322 be used with 506 for criminal intimidation?
323,Offences Affecting the Human Body – Of Hurt,I was hit by a stranger in public—what's the punishment?,My cousin slapped me at a function—can he be punished?,Can IPC 323 be filed even if injuries are minor?,What is the punishment under IPC 323?,Is IPC 323 bailable on the spot?,Will police take FIR if it’s just IPC 323?,How to file a complaint for IPC 323 online?,Can IPC 323 lead to jail time?,Is medical report needed for IPC 323 case?,What are common bail conditions for IPC 323?
324,Offences Affecting the Human Body – Of Hurt,Someone attacked me with a knife—what IPC section applies?,I got hurt with a stick in a group fight—how to report?,What is the punishment for hurting with acid or hot liquid?,Can IPC 324 be used if I was hit with a rod?,"What is considered a ""dangerous weapon"" under IPC?",Can I be charged under IPC 324 for using bottle to hit?,Is IPC 324 cognizable—will police take action without court order?,Is self-defense allowed under IPC 324?,Can IPC 324 be clubbed with attempt to murder?,Can I get anticipatory bail in IPC 324 case?
325,Offences Affecting the Human Body – Of Hurt,I was injured badly in a fight—can I get the attacker jailed?,Is there jail term for grievous hurt without weapons?,Can IPC 325 be used for domestic violence cases?,What evidence is needed for IPC 325 case?,Does IPC 325 include breaking someone’s limb?,Can IPC 325 be used in workplace physical violence?,What happens if victim withdraws IPC 325 complaint?,Can IPC 325 be converted to a non-bailable offence?,Are compoundable offences allowed under IPC 325?,What is the process to file FIR under IPC 325?
326,Offences Affecting the Human Body – Of Hurt,Someone attacked me with a sword and I lost my fingers—what law applies?,A gang used metal rods and left me disabled—what action can I take?,My husband hit me with an iron rod and I can’t walk—what should I do?,Is grievous hurt with a weapon treated as attempt to murder?,My brother used a sickle during a family fight—can I report under 326?,Can permanent disability due to weapon attack be booked under IPC 326?,How do I prove the injury was caused by a dangerous weapon?,Will police take immediate action under 326?,Is IPC 326 a bailable offence?,What punishment is given for causing permanent damage?
326A,Offences Affecting the Human Body – Of Hurt,A man threw acid on my cousin’s face—what is the punishment?,What IPC applies for acid attack cases in India?,How to report an acid attack against a woman in my area?,My sister is an acid attack survivor—what rights does she have?,Can IPC 326A be used even if acid didn’t cause burns?,What’s the minimum fine and jail term in acid attack cases?,Is it a bailable offence if acid was thrown in anger?,What if the attacker used chemical other than acid?,Can 326A be filed along with 307 (attempt to murder)?,What is the government compensation for acid attack victims?
326B,Offences Affecting the Human Body – Of Hurt,A guy tried to throw acid but missed—what case can we file?,My classmate brought acid to college but didn’t use it—can he be arrested?,Is attempting to throw acid also a serious crime?,Does IPC 326B require actual burns to be registered?,My neighbor threatened to throw acid—can we file IPC 326B?,What punishment is there for just attempting to attack with acid?,Is it possible to get bail for IPC 326B?,How do police verify intent in acid-throwing cases?,What’s the difference between IPC 326A and 326B?,Can a minor be punished under 326B for carrying acid?
327,Offences Affecting the Human Body – Of Hurt,Some goons beat my father and forced him to transfer land—what case applies?,I was beaten up until I signed a blank cheque—what IPC covers this?,A political group hurt me to join their protest—how do I complain?,Can causing hurt to force someone for property transfer be criminal?,What if they used weapons to extort money during assault?,Is IPC 327 applicable if someone forces a confession through beating?,I was slapped till I signed a false document—what’s the legal step?,Can police arrest immediately under 327 IPC?,Is 327 treated like robbery?,Can IPC 327 be filed with extortion and assault?
328,Offences Affecting the Human Body – Of Hurt,My drink was spiked and I was robbed—what section applies?,A guy mixed sleeping pills in my tea and stole my phone—how to file complaint?,Is giving drugs or intoxicants to hurt someone punishable?,Someone gave poison to my dog to scare me—can I report under IPC 328?,What proof is needed for administering poison?,I was drugged during a party and assaulted—what IPC applies?,Can 328 IPC be filed even if the substance didn’t cause harm?,What counts as an “intoxicant” under IPC 328?,My ex-boyfriend mixed pills in my food—how can I act legally?,Can intent alone (without injury) be enough for IPC 328?
329,Offences Affecting the Human Body – Of Hurt,My uncle was beaten up to transfer property—what can we do legally?,Goons attacked my father to force him into selling land—what law protects us?,I was tortured to give ATM PIN—what section covers this?,My brother was badly injured for refusing illegal business—what IPC applies?,Can grievous injury due to property demand be punished under IPC?,Is it life imprisonment if injury is serious and property was extorted?,What are examples of IPC 329 cases?,I was forced into signing a property deed after getting hurt—what should I do?,Is medical report compulsory for IPC 329?,Can IPC 329 be combined with IPC 386 (extortion)?
330,Offences Affecting the Human Body – Of Hurt,Police hit me to force a confession—what IPC applies?,I was slapped and forced to admit theft—can I file IPC 330?,My neighbor beat me to return borrowed money—what section is this?,How do I prove they hurt me to get confession?,What’s the difference between IPC 329 and 330?,My boss assaulted me and forced me to admit a fake mistake—legal step?,Can IPC 330 be applied in domestic cases also?,My minor brother was beaten for stolen item—can I take action?,What punishment does IPC 330 give?,Is it bailable if the confession was not actually given?
331,Offences Affecting the Human Body – Of Hurt,I was severely injured to force a false confession—what action can I take?,A group tortured my friend till he signed forged documents—what IPC applies?,What if grievous hurt is caused for recovering stolen property?,Can 331 be used if someone broke bones to extort a confession?,My sister was hospitalized after being forced to accept guilt—what section helps?,I lost hearing due to assault meant to make me confess—what IPC applies?,Is there heavier punishment if permanent damage is done?,"Police applied 330, but injuries were severe—can I ask for IPC 331?",Does IPC 331 apply only to police?,My landlord hurt me to recover dues—can I use IPC 331?
332,Offences Affecting the Human Body – Of Hurt,I was beaten while trying to stop an illegal activity—what law protects me as a government employee?,A traffic constable was attacked for stopping a vehicle—what IPC applies?,What if a public servant is injured during duty?,Is IPC 332 valid for teachers attacked by parents?,How do police protect ASHA workers or municipal staff under IPC?,I was hit while doing public health survey—what section applies?,A sanitation worker was beaten for issuing a fine—legal help?,Does IPC 332 cover harassment of public servants?,Can IPC 332 be applied even without grievous injury?,How to file IPC 332 complaint in rural areas?
