Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital Status,Religion,State,Education Required,Minority Status,For Orphans,Eligibility Summary
Indira Gandhi National Old Age Pension Scheme - Tamil Nadu,"BPL, Clothes, Meal, Pension, Senior Citizen","Provides ₹1,000 monthly pension to destitute persons aged 60+ from BPL households.",https://www.myschemes.gov.in/,60,None,Any,Any,"Below ₹27,000",Any,No,Any,Any,Tamil Nadu,None,No,No,"Destitute senior citizens aged 60+ from BPL families in Tamil Nadu get ₹1,000 monthly pension."
Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme-II,"Financial Assistance, Rehabilitate, Remarriage, Widow",Offers financial assistance to widows remarrying for their rehabilitation.,https://www.myschemes.gov.in/,18,None,Female,Any,"₹27,000–1 Lakh",Remarrying Widows,No,Widowed,Any,Tamil Nadu,None,No,No,Widows remarrying in Tamil Nadu from low-income households are eligible for financial support.
Distress Relief Scheme,"BPL, Death, Family, Financial Assistance, Relief","Provides ₹20,000 financial assistance to BPL families on death of their primary breadwinner.",https://www.myschemes.gov.in/,18,None,Any,Any,"Below ₹27,000",Dependent Family,No,Any,Any,Tamil Nadu,None,No,No,"BPL families in Tamil Nadu facing the death of their breadwinner are eligible for ₹20,000 financial assistance."
E.V.R. Maniammaiyar Ninaivu Marriage Assistance Scheme for Daughters of Poor Widows-II,"Daughter, Financial Assistance, Marriage, Widow",Provides financial aid to poor widows for the marriage of their daughters.,https://www.myschemes.gov.in/,18,None,Female,Any,"₹27,000–1 Lakh",Daughter of Widow,No,Unmarried,Any,Tamil Nadu,10th Pass,No,No,Unmarried daughters of poor widows in Tamil Nadu are eligible for marriage financial assistance.
Scheme of Extending Grants for the Publication of Rare Books on Arts,"Arts, Book, Financial Assistance, Grant, Publication","Provides 60% of publication costs or ₹15,000 (whichever is less) for rare arts-related book publications.",https://www.myschemes.gov.in/,21,None,Any,Any,Any,"Writer, Publisher",No,Any,Any,Tamil Nadu,Graduate+,No,No,Writers of rare arts-related books in Tamil Nadu are eligible for grants towards publishing expenses.
Scheme for Giving Awards to Junior Artists in Contemporary Art Field,"Artists, Award, Exhibition, Financial Assistance","Offers ₹10,000 award to junior artists in contemporary painting and sculpture exhibitions.",https://www.myschemes.gov.in/,21,None,Any,Any,Any,Junior Artist,No,Any,Any,Tamil Nadu,Graduate+,No,No,"Junior contemporary artists in Tamil Nadu are eligible for ₹10,000 award in painting and sculpture exhibitions."
Scheme of Awarding Porkizhi to the Indigent Kalaimamani Awardee Artists,"Artist, Award, Financial Assistance, Indigent","Provides ₹15,000 financial assistance to indigent Kalaimamani Award recipient artists.",https://www.myschemes.gov.in/,60,None,Any,Any,"₹27,000–1 Lakh",Artist,No,Any,Any,Tamil Nadu,None,No,No,"Indigent Kalaimamani award-winning artists in Tamil Nadu are eligible for ₹15,000 financial assistance."
Integrated Pest Management Demonstration Cum Training,"Agriculture, Farmer, Integrated Pest Management, Training",Provides financial aid for pest management training & demonstration for 30 farmers using cluster approach.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Farmer,No,Any,Any,Tamil Nadu,None,No,No,Tamil Nadu farmers practicing pest management are eligible for training and demo support.
Distribution of Minikits at Free of Cost,"Agriculture, Farmer, Minikits, Subsidy",Provides free minikits to maize farmers in select districts.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Maize Farmer,No,Any,Any,Tamil Nadu,None,No,No,Maize farmers in selected districts of Tamil Nadu receive free minikits under this scheme.
Production of Foundation and Certified Seeds,"Agriculture, Certified Seeds, Farmer, Foundation Seeds, Seed Production",Subsidy for farmers producing & supplying foundation and certified seeds.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,"Seed Producer, Farmer",No,Any,Any,Tamil Nadu,None,No,No,Farmers in Tamil Nadu involved in seed production are eligible for subsidy under this scheme.
Organizing Block Demonstration,"Agriculture, Block Demonstration, Farmer, Subsidy","50% subsidy (up to ₹2,000) for demonstrating Pulses cultivation over 5 hectares.",https://www.myschemes.gov.in/,18,None,Any,Any,Any,Pulse Farmer,No,Any,Any,Tamil Nadu,None,No,No,Pulse farmers in Tamil Nadu are eligible for 50% subsidy on demonstration projects across 5 hectares.
Visit of Contract Farming Farmers to Research Stations in Karnataka,"Agriculture, Contract Farming, Farmer, Research Stations Visit",Financial support for 3-day visit to Karnataka research stations for contract farmers.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Contract Farmer,No,Any,Any,Tamil Nadu,None,No,No,Contract farmers in Tamil Nadu are eligible for financial support to visit research stations in Karnataka.
Adi Dravidar & Tribal Welfare Hostels: Special Guides,"Accommodation, Adi Dravidar, Education, Hostels, Students, Tribal Welfare",Hostel facilities for Adi Dravidar/Tribal students up to Class 12.,https://www.myschemes.gov.in/,6,18,Any,"SC, ST",Any,Student,No,Any,Any,Tamil Nadu,10th Pass,No,No,SC/ST school students up to Class 12 in Tamil Nadu are eligible for hostel accommodation.
Training of Farmers on Pulses Production Technologies,"Agriculture, Farmer, Pulses Production, Training",Training on advanced technologies for pulses production to increase yield.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Pulse Farmer,No,Any,Any,Tamil Nadu,None,No,No,Pulse farmers in Tamil Nadu are eligible for advanced training in yield-enhancing technologies.
Production of Certified Seeds of Maize,"Agriculture, Certified Seeds, Farmer, Maize, Seed Production",Subsidy to promote certified maize seed production.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Maize Seed Producer,No,Any,Any,Tamil Nadu,None,No,No,Farmers producing certified maize seeds in Tamil Nadu are eligible for subsidy.
Production of Foundation Seeds (Pulses),"Agriculture, Farmer, Foundation Seeds, Seed Production",Subsidy for producing foundation seeds of pulses; priority to SC/ST farmers and women.,https://www.myschemes.gov.in/,18,None,Any,"SC, ST, Any",Any,Pulse Seed Producer,No,Any,Any,Tamil Nadu,None,No,No,SC/ST and women farmers in Tamil Nadu producing foundation seeds of pulses are prioritized for subsidy support.
Adi Dravidar & Tribal Welfare: Scholarship-Free Education up to 12th Std.,"Adi Dravidar, Free Education, Scholarship, Tribal Welfare","Covers tuition fees for Adi Dravidar, Tribal & Adi Dravidar Christians till Class 12.",https://www.myschemes.gov.in/,6,18,Any,"SC, ST",Any,Student,No,Any,Any,Tamil Nadu,10th Pass,No,No,SC/ST and Adi Dravidar Christian students in Tamil Nadu studying up to Class 12 are eligible for free education.
Awards to Bright Students,"Cash Award, Education, Students, Topper, Tribal Welfare",Cash awards to top Adi Dravidar/Tribal students in 10th exams continuing studies.,https://www.myschemes.gov.in/,15,18,Any,"SC, ST",Any,Student,No,Any,Any,Tamil Nadu,10th Pass,No,No,Top-performing SC/ST students in Class 10 exams in Tamil Nadu are eligible for cash awards.
Annal Gandhi Memorial Award,"Award, Education, Examination, Tribal Welfare",Cash award to SC/ST top scorer (one boy & one girl) in Plus 2 Public Exam per district.,https://www.myschemes.gov.in/,16,19,Any,"SC, ST",Any,Student,No,Unmarried,Any,Tamil Nadu,12th Pass,No,No,One SC and one ST student (boy and girl) per district in Tamil Nadu topping Plus 2 exams are awarded.
Construction of Free Houses for Tribals,"Free House Construction, Tribal Welfare",Free houses for tribals with existing house site pattas.,https://www.myschemes.gov.in/,18,None,Any,ST,Any,Any,No,Any,Any,Tamil Nadu,None,No,No,Tribals in Tamil Nadu with valid house site pattas are eligible for free house construction.
Professional Loan for Doctors/Engineers/Self-Employed via DCCBs,"Doctors, Engineers, Professional Loan, Self Employed, Social Empowerment","Professional loans up to ₹10,00,000 via District Central Cooperative Banks.",https://www.myschemes.gov.in/,21,None,Any,Any,Above ₹1 Lakh,"Doctor, Engineer, Self-Employed",No,Any,Any,Tamil Nadu,Graduate+,No,No,"Doctors, engineers, and self-employed professionals in Tamil Nadu can avail professional loans via DCCBs."
"Postmatric Scholarship (English Medium, 11th-12th)","Education, Minority Welfare, Postmatric, Scholarship",Tuition & exam fee aid for BC/MBC students in English medium schools (11th-12th).,https://www.myschemes.gov.in/,16,18,Any,OBC,"₹27,000–1 Lakh",Student,No,Any,Any,Tamil Nadu,10th Pass,No,No,BC/MBC students studying in English medium schools in Tamil Nadu (11th-12th) are eligible for tuition & exam fee scholarship.
Loan for Minor Irrigation (PCARD Bank),"Agriculture, Agriculture & Rural Development Bank, Farmer, Irrigation, Loan","Loan for minor irrigation projects (₹65,000 - ₹1,20,000, interest 11%-11.75%).",https://www.myschemes.gov.in/,18,None,Any,Any,Above ₹1 Lakh,Farmer,No,Any,Any,Tamil Nadu,None,No,No,Farmers in Tamil Nadu needing minor irrigation support are eligible for PCARD Bank loans.
Loan for Tea Plantation (PCARD Bank),"Agriculture, Agriculture & Rural Development Bank, Farmer, Loan, Tea Plantation","Loan for tea plantation activities (up to ₹33,000/acre, 11%-12.5% interest).",https://www.myschemes.gov.in/,18,None,Any,Any,Above ₹1 Lakh,Tea Farmer,No,Any,Any,Tamil Nadu,None,No,No,Tea growers in Tamil Nadu are eligible for plantation loans through PCARD Bank.
Loan for Horticulture (PCARD Bank),"Farmer, Financial Assistance, Horticulture Loan","Loan for horticulture (₹25,000 - ₹2,00,000 per 0.4 hectare, 11%-12.75% interest).",https://www.myschemes.gov.in/,18,None,Any,Any,Above ₹1 Lakh,Horticulture Farmer,No,Any,Any,Tamil Nadu,None,No,No,Farmers involved in horticulture in Tamil Nadu can apply for loans under PCARD Bank.
Marriage Assistance for Employees or their Children,"Daughter, Employees, Marriage, Son",Marriage assistance for eligible government employees or their son/daughter.,https://www.myschemes.gov.in/,18,None,Any,Any,"₹27,000–1 Lakh",Government Employee or Dependent,No,Unmarried,Any,Tamil Nadu,10th Pass,No,No,Marriage support for TN government employees or their children meeting eligibility norms.
Unemployment Assistance Scheme,"Employment, Jobs, Training",Financial assistance for unemployed youth of Tamil Nadu.,https://www.myschemes.gov.in/,18,70,Any,Any,Any,Unemployed youth,No,Any,Any,Tamil Nadu,None,No,No,Unemployed youth in Tamil Nadu aged 18–70.
Utility Based Handicrafts Award,"Artisans, Award, Handicrafts, Manufacturer, Prize","Award to 3 artisans to encourage production of utility-based handicrafts, includes cash prize.",https://www.myschemes.gov.in/,18,None,Any,Any,Any,Handicraft artisans,No,Any,Any,Tamil Nadu,None,No,No,Handicraft artisans in Tamil Nadu eligible for utility-based handicraft awards.
Poompuhar State Award,"Artisans, Award, Crafts, Financial Assistance","Award with ₹50,000, gold medal, and pension eligibility for economically backward artisans after 60 years.",https://www.myschemes.gov.in/,60,None,Any,Any,"₹27,000–1 Lakh",Artisans,No,Any,Any,Tamil Nadu,None,No,No,Economically backward artisans in Tamil Nadu above 60 years.
Financial Assistance for Funeral of Differently Abled,"Death, Disability, Financial Assistance, Funeral","₹2,000 provided towards funeral expenses of differently-abled persons.",https://www.myschemes.gov.in/,None,None,Any,Any,Any,Legal heir,Yes,Any,Any,Tamil Nadu,None,No,No,Legal heir of a deceased differently-abled person in Tamil Nadu.
Financial Assistance on Natural Death of Differently Abled,"Death, Differently Abled, Financial Assistance","₹15,000 given to legal heir upon natural death of differently-abled person.",https://www.myschemes.gov.in/,None,None,Any,Any,Any,Legal heir,Yes,Any,Any,Tamil Nadu,None,No,No,Legal heir of a differently-abled person in Tamil Nadu on natural death.
Maintenance Allowance for Leprosy Affected Persons,"Disability, Financial Assistance, Leprosy, Monthly Allowance",Monthly allowance for leprosy-affected persons.,https://www.myschemes.gov.in/,18,70,Any,Any,Any,Any,Yes,Any,Any,Tamil Nadu,None,No,No,Leprosy-affected persons in Tamil Nadu aged 18–70.
Marriage Assistance to Normal Persons Marrying Visually Impaired,"Differently-abled Person, Financial Assistance, Marriage, Visually",Marriage assistance to normal persons marrying visually impaired persons.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Married couples,Yes,Married,Any,Tamil Nadu,None,No,No,Married couples including a visually impaired person in Tamil Nadu.
Modular Reflective Folding Sticks (Smartcane),"Blind, Disability, Folding Sticks, Social Welfare, Visually Impaired",Distribution of reflective folding sticks for mobility of visually impaired persons.,https://www.myschemes.gov.in/,None,None,Any,Any,Any,Visually impaired persons,Yes,Any,Any,Tamil Nadu,None,No,No,Visually impaired persons in Tamil Nadu are eligible for mobility aids.
Personal Assistance Allowance for Differently Abled Persons,"Allowance, Financial Assistance, Person With Disability, Personal Assistance","₹1,000 monthly allowance for high-support-needs differently-abled persons.",https://www.myschemes.gov.in/,18,None,Any,Any,Any,High-support-need disabled,Yes,Any,Any,Tamil Nadu,None,No,No,Differently-abled persons with high support needs in Tamil Nadu.
Assistance to Law Graduates (Differently Abled),"Differently-abled Person, Financial Assistance, Law Graduate, Social Welfare","₹50,000 financial aid for differently-abled law graduates enrolling in Bar Council.",https://www.myschemes.gov.in/,21,None,Any,Any,Any,Law Graduates,Yes,Any,Any,Tamil Nadu,Graduate+,No,No,Differently-abled law graduates in Tamil Nadu enrolling in Bar Council.
Scholarship (Above VIII Standard),"Different Abled Person, Education, Scholarship, Student",Scholarships for differently-abled students studying above Class 8 in government institutions.,https://www.myschemes.gov.in/,14,18,Any,Any,Any,Students,Yes,Any,Any,Tamil Nadu,10th Pass,No,No,Differently-abled students in Tamil Nadu studying above Class 8 in govt institutions.
Scholarship (I to VIII Standard),"Book, Differently-abled Person, Scholarship, Student",Scholarship for notebooks for differently-abled students from Class 1 to 8 in government schools.,https://www.myschemes.gov.in/,6,13,Any,Any,Any,Students,Yes,Any,Any,Tamil Nadu,None,No,No,Differently-abled students from Class 1 to 8 in Tamil Nadu govt schools.
Special Education Scheme,"Child, Different Abled Person, Hearing Impaired, Locomotor, Visually Impaired","Free special education and vocational training for visually impaired, hearing impaired, and locomotor disabled persons.",https://www.myschemes.gov.in/,6,18,Any,Any,Any,Students,Yes,Any,Any,Tamil Nadu,None,No,No,Differently-abled children in Tamil Nadu needing special education/training.
Retrofitted Petrol Scooters Scheme,"Differently Abled Person, Employed, Orthopedically, Scooter, Social Welfare, Student",Provides retrofitted scooters to orthopedically differently-abled persons for mobility.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Employed or Students,Yes,Any,Any,Tamil Nadu,None,No,No,Orthopedically differently-abled persons in Tamil Nadu for mobility support.
Calipers and Crutches Scheme,"Calipers And Crutches, Orthopedically, Person With Disability, Social Welfare",Distribution of calipers and crutches for orthopedically differently-abled persons.,https://www.myschemes.gov.in/,None,None,Any,Any,Any,Any,Yes,Any,Any,Tamil Nadu,None,No,No,Orthopedically differently-abled persons in Tamil Nadu eligible for assistive aids.
Tricycles Scheme,"Orthopedically, Person With Disability, Social Welfare, Tricycles",Distribution of tricycles to orthopedically differently-abled persons for mobility.,https://www.myschemes.gov.in/,None,None,Any,Any,Any,Any,Yes,Any,Any,Tamil Nadu,None,No,No,Orthopedically differently-abled persons in Tamil Nadu eligible for tricycles.
Early Intervention Centres for Children with Autism,"Autism, Differently Abled Person, Skill, Social Welfare",Early intervention and therapy services for children with autism.,https://www.myschemes.gov.in/,2,12,Any,Any,Any,Children,Yes,Any,Any,Tamil Nadu,None,No,No,Children with autism in Tamil Nadu eligible for early therapy services.
Moovalur Ramamirtham Ammaiyar Marriage Assistance Scheme - II,"Daughter, Financial Assistance, Gold, Marriage","Marriage assistance scheme for poor parents' daughters, promoting education and marriage.",https://www.myschemes.gov.in/,18,None,Female,Any,"₹27,000–1 Lakh",Daughters of poor parents,No,Unmarried,Any,Tamil Nadu,12th Pass,No,No,Unmarried girls from poor families in Tamil Nadu eligible for marriage and education aid.
Free Supply of Notebooks to Children of Poor Widows,"Children, Education, Notebook, Widow",Free notebook supply to children of poor widows studying up to higher secondary.,https://www.myschemes.gov.in/,6,18,Any,Any,"₹27,000–1 Lakh",Students,No,Widowed (parent),Any,Tamil Nadu,12th Pass,No,No,Children of poor widows studying up to higher secondary in Tamil Nadu.
Distribution of Manually Operated Plant Protection Equipment,"Agriculture, Equipment Distribution, Farmer, Manually Operated Equipment, Plant Protection Equipment, Subsidy",50% subsidy on manually operated plant protection equipment for farmers.,https://www.myschemes.gov.in/,18,70,Any,Any,Any,Farmers,No,Any,Any,Tamil Nadu,None,No,No,Farmers in Tamil Nadu eligible for subsidy on plant protection equipment.
Distribution of Rhizobium Packets - Oilseeds,"Agriculture, Farmer, Oilseeds, Rhizobium, Subsidy",Subsidy on Rhizobium packets for oilseed farmers producing certified seeds.,https://www.myschemes.gov.in/,18,70,Any,Any,Any,Oilseed farmers (certified seed production),No,Any,Any,Tamil Nadu,None,No,No,Oilseed farmers producing certified seeds in Tamil Nadu eligible for Rhizobium subsidy.
Generator Subsidy,"Electricity, Enterprise, MSME, Power, Subsidy",25% subsidy (max ₹5 lakh) for purchase of generators (up to 320 KVA) by MSMEs.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,MSME Manufacturing Units,No,Any,Any,Tamil Nadu,None,No,No,New or existing MSME manufacturers in Tamil Nadu eligible for generator subsidy.
Payroll Subsidy,"Business, Enterprise, MSME, Provident Fund, Reimbursement","Reimbursement of employees' EPF contribution (max ₹24,000/employee/year) to MSMEs.",https://www.myschemes.gov.in/,18,None,Any,Any,Any,MSMEs with employees,No,Any,Any,Tamil Nadu,None,No,No,MSMEs in Tamil Nadu reimbursed for eligible staff EPF contributions.
Migrants Employment Generation Programme (MEGP),"Covid-19, Employment, Entrepreneur, Loan, MEGP, Migrant, Subsidy",Loans for self-employment of Non-Resident Tamils returning due to Covid-19.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Returned Migrant Entrepreneurs,No,Any,Any,Tamil Nadu,None,No,No,NR Tamils who returned due to Covid-19 are eligible for MEGP self-employment loans.
Old Age Pension under Uzhavar Padhukappu Thittam,"Farmers, Financial Assistance, Labour, Pension, Senior Citizen","₹1,000/month pension to elderly farmers/agricultural labourers with CMPUT card.",https://www.myschemes.gov.in/,60,None,Any,Any,Any,Farmers / Agri Labour (CMPUT card holders),No,Any,Any,Tamil Nadu,None,No,No,Elderly farmers or agri labourers in Tamil Nadu with CMPUT card eligible for pension.
Pension to Unmarried Poor Incapacitated Women (50+),"Incapacitated, Pension, Poor, Unmarried, Women","₹1,000/month pension for unmarried, poor, incapacitated women aged 50+.",https://www.myschemes.gov.in/,50,None,Female,Any,"₹27,000–1 Lakh",Any,Yes,Unmarried,Any,Tamil Nadu,None,No,No,Unmarried poor incapacitated women aged 50+ in Tamil Nadu eligible for monthly pension.
Government Working Women’s Hostel,"Accommodation, Food, Hostel, Women",Safe hostel accommodation for working women from low/middle income groups.,https://www.myschemes.gov.in/,18,None,Female,Any,"₹27,000–1 Lakh",Working Women,No,Any,Any,Tamil Nadu,None,No,No,Working women from low/middle-income families in Tamil Nadu are eligible for hostel accommodation.
Accident Relief Scheme,"Accident, Bread Winner, Death, Financial Assistance","₹20,000 financial aid to BPL families on death of primary breadwinner.",https://www.myschemes.gov.in/,18,None,Any,Any,"₹27,000–1 Lakh",BPL Family (deceased breadwinner),No,Any,Any,Tamil Nadu,None,No,No,BPL families in Tamil Nadu eligible for aid upon death of primary breadwinner.
Awards to Senior Artists (Contemporary Art),"Artists, Award, Exhibition, Financial Assistance","₹15,000 award for senior artists in painting & sculpture at state-level exhibitions.",https://www.myschemes.gov.in/,60,None,Any,Any,Any,Senior Artists (Painting/Sculpture),No,Any,Any,Tamil Nadu,None,No,No,Senior artists selected at Tamil Nadu exhibitions eligible for state-level award.
Kalaimamani Award,"Artists, Award, Drama, Natyam","Lifetime award for excellence in arts like drama, dance, cinema, TV, etc.",https://www.myschemes.gov.in/,35,None,Any,Any,Any,Artists in Performing Arts,No,Any,Any,Tamil Nadu,None,No,No,"Artists in drama, dance, cinema, or TV in Tamil Nadu eligible for Kalaimamani Award."
Marriage Assistance (Normal marrying Orthopedically Differently Abled),"Differently-abled Person, Financial Assistance, Gold, Marriage, Orthopedically",Marriage assistance & gold for marriage with orthopedically differently-abled person.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Married couples (one partner orthopedically disabled),Yes,Married,Any,Tamil Nadu,None,No,No,Couples including an orthopedically differently-abled person in Tamil Nadu eligible for marriage assistance.
Maintenance Allowance for Severely Affected Persons,"Differently Abled, Financial Assistance, Monthly Allowance, Social Welfare",Monthly maintenance allowance for severely differently-abled persons who can’t be rehabilitated.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Severely disabled (non-rehabilitable),Yes,Any,Any,Tamil Nadu,None,No,No,"Non-rehabilitable, severely differently-abled persons in Tamil Nadu eligible for monthly allowance."
Multimedia Training,"Locomotor, Multimedia, Person With Disability, Training",Multimedia training for persons with locomotor & hearing disabilities.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Locomotor or Hearing Disabled,Yes,Any,Any,Tamil Nadu,10th Pass,No,No,Locomotor/hearing-disabled persons in Tamil Nadu eligible for multimedia training.
"Assistance for Child Delivery, Miscarriage, or Pregnancy Termination","Child, Financial Assistance, Pregnant Women","Financial aid for childbirth, miscarriage, or pregnancy termination.",https://www.myschemes.gov.in/,18,50,Female,Any,"₹27,000–1 Lakh",Pregnant Women,No,Married,Any,Tamil Nadu,None,No,No,Pregnant women in Tamil Nadu eligible for childbirth/miscarriage/termination assistance.
Assistance for Spectacles - Folk Artists,"Artist, Financial Assistance, Spectacles",Financial aid for purchase of spectacles for registered folk artists.,https://www.myschemes.gov.in/,40,None,Any,Any,Any,Folk Artists (Registered),No,Any,Any,Tamil Nadu,None,No,No,Registered folk artists in Tamil Nadu eligible for spectacles assistance.
Education Assistance - Folk Artist,"Artist, Financial Assistance, Student",Education assistance for children of registered folk artists.,https://www.myschemes.gov.in/,5,20,Any,Any,Any,Children of Folk Artists,No,Any,Any,Tamil Nadu,10th Pass,No,No,Children of registered folk artists in Tamil Nadu eligible for education support.
Pension Scheme for Journalists,"Financial Assistance, Pension, Retirement",Monthly pension for retired journalists.,https://www.myschemes.gov.in/,60,None,Any,Any,Any,Retired Journalists (Govt-recognized),No,Any,Any,Tamil Nadu,Graduate+,No,No,"Retired, TN government-recognized journalists eligible for monthly pension."
Old Age Homes,"Food, NGO, Senior Citizens, Shelter","Shelter, food, and care for destitute senior citizens.",https://www.myschemes.gov.in/,60,None,Any,Any,Any,Senior Citizens (Destitute),No,Any,Any,Tamil Nadu,None,No,No,Destitute senior citizens in Tamil Nadu eligible for free shelter and care.
Distribution of Nuclear Poly Hedrosis Virus (NPV),"Agriculture, Farmer, NPV, Nuclear Poly Hedrosis Virus, Subsidy",Subsidy for NPV distribution to farmers cultivating seed farms for pulses.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Pulse Seed Farmers,No,Any,Any,Tamil Nadu,None,No,No,Farmers cultivating seed farms for pulses in Tamil Nadu eligible for NPV subsidy.
Distribution of Soil Health Card,"Agriculture, Farmer, Soil Health Card",Soil health card for ₹5 fee per test for farmers submitting soil samples.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Farmers testing soil,No,Any,Any,Tamil Nadu,None,No,No,Tamil Nadu farmers submitting soil samples eligible for Soil Health Card.
Distribution of Certified Seeds of Maize,"Agriculture, Farmer, Maize, Seed Distribution, Subsidy",Subsidized certified maize seeds for farmers in specific districts.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Maize Farmers (Eligible Districts),No,Any,Any,Tamil Nadu,None,No,No,Maize farmers in notified Tamil Nadu districts eligible for seed subsidy.
Distribution of Gypsum-Oil Seeds,"Agriculture, Farmer, Gypsum, Oil Seeds, Seed Distribution, Subsidy",Subsidy on gypsum and transport for farmers producing Foundation/Certified seeds.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Seed-Producing Farmers,No,Any,Any,Tamil Nadu,None,No,No,Tamil Nadu farmers producing foundation/certified seeds eligible for gypsum subsidy.
Production Of Certified Seeds,"Agriculture, Certified Seeds, Farmer, Production Of Seeds",Subsidy for production of certified seeds of Pulses.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Pulse Seed Producers,No,Any,Any,Tamil Nadu,None,No,No,Farmers in Tamil Nadu producing certified pulse seeds eligible for subsidy.
Generator Subsidy (Tamil Nadu),"Agriculture, Generator, Manufacture, Subsidy",25% subsidy on generator sets (up to 125 KVA) for manufacturers.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,MSME Manufacturers,No,Any,Any,Tamil Nadu,None,No,No,MSME manufacturers in Tamil Nadu eligible for generator purchase subsidy.
SRTO Loan,"Financial Assistance, Infrastructure",Loans up to ₹10 lakh at 13% for small road transport operators.,https://www.myschemes.gov.in/,21,None,Any,Any,Any,Small Road Transport Operators,No,Any,Any,Tamil Nadu,None,No,No,Small road transport operators in Tamil Nadu eligible for SRTO loan up to ₹10 lakh.
Jewel Loan,"Banking, Jewel Loan",Loan up to ₹1 lakh against gold/jewelry at ~12% interest.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Individuals pledging gold,No,Any,Any,Tamil Nadu,None,No,No,Individuals in Tamil Nadu pledging jewelry eligible for jewel loan up to ₹1 lakh.
Scholarship for Students in Central Govt Institutions,"Education, Minority Welfare, Scholarship, Student Finance","Financial aid for BC, MBC, DNC students in IIT, IIM, NIT, etc.",https://www.myschemes.gov.in/,17,25,Any,OBC,"₹27,000–1 Lakh",Students in Central Institutions,No,Any,Any,Tamil Nadu,12th Pass,No,No,BC/MBC/DNC students from Tamil Nadu studying in IIT/IIM/NIT eligible for financial aid.
Book Bank Scheme: I,"Books, Education, Students, Tribal Welfare",Free textbooks for SC/ST students in professional courses (to be returned post-course).,https://www.myschemes.gov.in/,17,30,Any,SC,Any,SC/ST Students (Professional Courses),No,Any,Any,Tamil Nadu,12th Pass,No,No,SC/ST students in Tamil Nadu enrolled in professional courses eligible for Book Bank.
Assistance for Funeral Rites,"Death Assistance, Funeral Rites, Tribal Welfare",₹500 funeral assistance for low-income SC/ST families.,https://www.myschemes.gov.in/,18,None,Any,SC,"₹27,000–1 Lakh",SC/ST Families,No,Any,Any,Tamil Nadu,None,No,No,Low-income SC/ST families in Tamil Nadu eligible for ₹500 funeral assistance.
Loan for Handloom/Non-Farm Activities,"Farmer, Financial Assistance, Handloom Loans, Non-farm Sector Activities",Loan up to ₹2 lakh at 11%-12.5% for handloom & non-farm activities.,https://www.myschemes.gov.in/,18,None,Any,Any,Any,Handloom / Non-Farm Workers,No,Any,Any,Tamil Nadu,None,No,No,Farmers in Tamil Nadu involved in non-farm or handloom work eligible for loan up to ₹2 lakh.
Loan for Fishing Boats (Catamarans),"Agriculture, Catamarans, Farmer, Fishing Boats, Loan","Loans for fishing boats from ₹15,000 to ₹60,000.",https://www.myschemes.gov.in/,18,None,Any,Any,Any,Farmers / Fishermen,No,Any,Any,Tamil Nadu,None,No,No,Farmers/fishermen in Tamil Nadu eligible for loans to purchase catamarans.
Loan for Women Entrepreneurs,"Business, Entrepreneurs, Loan, Women",Loan up to ₹5 lakh for women entrepreneurs at ~12% interest.,https://www.myschemes.gov.in/,18,None,Female,Any,Any,Women Entrepreneurs,No,Any,Any,Tamil Nadu,None,No,No,Women entrepreneurs in Tamil Nadu eligible for business loan up to ₹5 lakh.
CM's Comprehensive Health Insurance,"Differently Abled Person, Family, Health, Insurance","Health insurance for TN residents, including differently-abled persons.",https://www.myschemes.gov.in/,0,None,Any,Any,"₹27,000–1 Lakh",Residents / Families,Any,Any,Any,Tamil Nadu,None,No,No,TN residents (including differently-abled) from low-income families eligible for health insurance.
Medical Aid for Journalists,"Daughter, Disease, Financial Assistance, Medical",Medical assistance from CM Relief Fund for journalists.,https://www.myschemes.gov.in/,21,None,Any,Any,Any,Journalists,No,Any,Any,Tamil Nadu,None,No,No,TN journalists in need of medical treatment eligible for CM medical aid.
