BNS Section,Description,Punishment,Bailable/Non-Bailable,Cognizable/Non-Cognizable,Category
264,"Public servant omits to apprehend or lets escape a person in cases not covered by sections 259, 260, 261, or other laws.",(a) Intentional: imprisonment up to 3 years or fine or both; (b) Negligent: simple imprisonment up to 2 years or fine or both,Bailable,Cognizable,False Evidence and Offences Against Public Justice
265,"Person offers resistance or obstruction or escapes or rescues in cases not covered by sections 262, 263 or other laws.",Imprisonment up to 6 months or fine or both,Bailable,Cognizable,False Evidence and Offences Against Public Justice
266,Person violates conditions of conditional remission of punishment.,Punishment originally sentenced or remaining punishment if part already suffered,Non-Bailable,Cognizable,False Evidence and Offences Against Public Justice
267,Intentional insult or interruption to a public servant during judicial proceeding.,"Simple imprisonment up to 6 months or fine up to ₹5,000 or both",Bailable,Cognizable,False Evidence and Offences Against Public Justice
268,Person impersonates or knowingly serves as assessor unlawfully.,Imprisonment up to 2 years or fine or both,Bailable,Cognizable,False Evidence and Offences Against Public Justice
269,Person fails to appear in Court without sufficient cause after release on bail or bond.,Imprisonment up to 1 year or fine or both; additional punishment for original offence and bond forfeiture may be ordered,Bailable,Cognizable,False Evidence and Offences Against Public Justice
270,"Act or illegal omission causing common injury, danger or annoyance to public or persons nearby.",Imprisonment or fine or both (term not specified here),Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
271,Unlawfully/negligently spreading infection of disease dangerous to life.,Imprisonment up to 6 months or fine or both,Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
272,Malignantly spreading infection of disease dangerous to life.,Imprisonment up to 2 years or fine or both,Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
273,Knowingly disobeying government quarantine rules related to transport or places with infectious disease.,Imprisonment up to 6 months or fine or both,Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
274,"Adulterating food or drink to make it noxious, intending or knowing it will be sold as food/drink.","Imprisonment up to 6 months or fine up to ₹5,000 or both",Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
275,Selling or offering for sale food or drink known or reasonably believed to be noxious or unfit.,"Imprisonment up to 6 months or fine up to ₹5,000 or both",Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
276,"Adulterating any drug or medical preparation to lessen efficacy, change operation, or make noxious, intending or knowing it will be used/sold for medicinal purposes.","Imprisonment up to 1 year or fine up to ₹5,000 or both",Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
277,"Selling or issuing adulterated drugs known to lessen efficacy, change operation, or make noxious as unadulterated for medicinal purposes.","Imprisonment up to 6 months or fine up to ₹5,000 or both",Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
278,Selling or issuing a drug or medical preparation as a different drug or preparation knowingly.,"Imprisonment up to 6 months or fine up to ₹5,000 or both",Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
279,Voluntarily corrupting or fouling water of public spring or reservoir making it less fit for ordinary use.,"Imprisonment up to 6 months or fine up to ₹5,000 or both",Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
280,"Voluntarily vitiating atmosphere in a place making it noxious to health of persons dwelling, working, or passing.","Fine up to ₹1,000",Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
281,Driving or riding rashly/negligently on public way endangering life or likely to cause hurt/injury.,"Imprisonment up to 6 months or fine up to ₹1,000 or both",Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
282,Navigating vessel rashly/negligently endangering life or likely to cause hurt/injury.,"Imprisonment up to 6 months or fine up to ₹10,000 or both",Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
283,"Exhibiting false light, mark, or buoy intending or knowing to mislead navigators.","Imprisonment up to 7 years + fine not less than ₹10,000",Non-Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
284,Knowingly/negligently conveying person by water in unsafe or overloaded vessel endangering life.,"Imprisonment up to 6 months or fine up to ₹5,000 or both",Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
285,"Doing act or omitting order with property causing danger, obstruction, or injury in public way/navigation.","Fine up to ₹5,000",Bailable,Non-Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
286,Rash/negligent act or omission with poisonous substance endangering life or likely to cause hurt.,"Imprisonment up to 6 months or fine up to ₹5,000 or both",Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
287,Rash/negligent act or omission with fire/combustible matter endangering life or likely to cause hurt.,"Imprisonment up to 6 months or fine up to ₹2,000 or both",Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
288,Rash/negligent act or omission with explosive substance endangering life or likely to cause hurt.,"Imprisonment up to 6 months or fine up to ₹5,000 or both",Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
289,Rash/negligent act or omission with machinery endangering life or likely to cause hurt.,"Imprisonment up to 6 months or fine up to ₹5,000 or both",Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
290,"Omitting safety measures during pulling down, repairing or constructing buildings leading to danger.","Imprisonment up to 6 months or fine up to ₹5,000 or both",Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
291,Omitting to take sufficient measures to guard against probable danger to human life or grievous hurt from animal in possession.,"Imprisonment up to 6 months, or fine up to ₹5,000, or both",Bailable,Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
292,Committing a public nuisance where no other punishment is specified under the Sanhita.,"Fine up to ₹1,000",Bailable,Non-Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
293,Continuing or repeating a public nuisance after being legally enjoined by a public servant to stop.,Simple imprisonment (term incomplete here),Bailable,Non-Cognizable,"Offences Affecting Public Health, Safety, Convenience, Decency and Morals"
294,"Selling, distributing, exhibiting, possessing, importing, exporting, advertising, or profiting from obscene materials (including electronic content) that tend to deprave or corrupt persons","First Conviction: Imprisonment up to 2 years, Fine up to ₹5,000Second or subsequent: Imprisonment up to 5 years, Fine up to ₹10,000",Bailable,Cognizable,"Public Health, Safety, Decency, Morals"
295,"Selling, distributing, exhibiting, or circulating obscene objects (per Section 294) to any child, or attempting to do so","First Conviction: Imprisonment up to 3 years, Fine up to ₹2,000Subsequent: Imprisonment up to 7 years, Fine up to ₹5,000",Bailable,Cognizable,"Public Health, Safety, Decency, Morals"
296,Doing obscene acts or singing/uttering obscene songs in or near any public place to annoy others,"Imprisonment up to 3 months, or Fine up to ₹1,000, or both",Bailable,Cognizable,"Public Health, Safety, Decency, Morals"
297,Keeping an office/place for unauthorized lotteries; publishing proposals related to such lotteries,"(1) Imprisonment up to 6 months or Fine or both(2) Fine up to ₹5,000",Bailable,Cognizable,"Public Health, Safety, Convenience"
298,"Destroying, damaging, or defiling any place of worship or sacred object intending to insult the religion of any class","Imprisonment up to 2 years, or fine, or both",Bailable,Cognizable,Offences relating to religion
299,"Insulting religion or religious beliefs of any class by words, signs, representations, electronic means with malicious intent","Imprisonment up to 3 years, or fine, or both",Bailable,Cognizable,Offences relating to religion
300,Voluntarily causing disturbance to any assembly lawfully engaged in religious worship or ceremonies,"Imprisonment up to 1 year, or fine, or both",Bailable,Cognizable,Offences relating to religion
301,"Trespassing with intent to wound feelings or insult religion in places of worship, sepulchre, funeral places; or offering indignity to corpse; or disturbing funeral assemblies","Imprisonment up to 1 year, or fine, or both",Bailable,Cognizable,Offences relating to religion
302,"Deliberately uttering words, making sounds, gestures, or placing objects to wound religious feelings of any person","Imprisonment up to 1 year, or fine, or both",Bailable,Cognizable,Offences relating to religion
303,Dishonestly taking any movable property out of possession of any person without consent by moving it. Includes various explanations and illustrations clarifying what constitutes theft.,"First conviction: Imprisonment up to 3 years, or fine, or both.Second or subsequent conviction: Rigorous imprisonment 1-5 years and fine.Exception: If value < ₹5000 & first conviction, with restoration, punishment can be community service.",Bailable (usually),Cognizable,Offences against property
304,Theft committed by suddenly or forcibly seizing or grabbing movable property from a person or their possession.,"Imprisonment up to 3 years, and fine.",Bailable,Cognizable,Offences against property
305,"Theft committed in a dwelling, transport vehicle, place of worship, or theft of government/local authority property.","Imprisonment up to 7 years, and fine.",Non-Bailable,Cognizable,Offences against property
306,Theft committed by a clerk or servant of property in possession of their master or employer.,"Imprisonment up to 7 years, and fine.",Non-Bailable,Cognizable,Offences against property
307,"Theft committed with prior preparation to cause death, hurt, or restraint to commit theft, escape, or retain stolen property.","Rigorous imprisonment up to 10 years, and fine.",Non-Bailable,Cognizable,Offences against property
308,"Intentionally putting a person in fear to dishonestly induce them to deliver property, valuable security, or signed document convertible to security. Includes threats by electronic means.","Imprisonment up to 7 years, or fine, or both. Punishment increases up to 10 years if involving fear of death, grievous hurt, or serious accusation.",Usually Non-Bailable,Cognizable,Offences against property
309,"Theft or extortion involving causing or attempting to cause death, hurt, wrongful restraint, or fear of instant death/hurt/restraint to the victim; extortion done in presence of victim by causing such fear and inducing immediate delivery of property.",Rigorous imprisonment up to 10 years and fine; 14 years if committed on highway between sunset and sunrise. Attempted robbery: rigorous imprisonment up to 7 years and fine. If voluntary hurt caused: life imprisonment or rigorous imprisonment up to 10 years and fine.,Usually Non-Bailable,Cognizable,Offences against property
310,"When 5 or more persons conjointly commit or attempt to commit robbery, or aid such act.",Imprisonment for life or rigorous imprisonment up to 10 years and fine. If murder is committed: death or life imprisonment or rigorous imprisonment ≥10 years.,Non-Bailable,Cognizable,Offences against property
311,"If during robbery or dacoity, the offender uses deadly weapon, or causes/attempts grievous hurt or death.",Rigorous imprisonment not less than 7 years.,Non-Bailable,Cognizable,Offences against property
312,"If at the time of attempting robbery or dacoity, the offender is armed with any deadly weapon.",Rigorous imprisonment not less than 7 years.,Non-Bailable,Cognizable,Offences against property
313,Being a member of a gang habitually committing theft or robbery (excluding dacoity).,Rigorous imprisonment up to 7 years and fine.,Non-Bailable,Cognizable,Offences against property
314,"Dishonestly misappropriating or converting to one’s own use any movable property, even temporarily, without the owner's consent. Includes dishonest use of found property when the owner can be discovered.",Imprisonment (6 months to 2 years) and fine,Bailable,Non-Cognizable,Offences against property
315,"Dishonestly misappropriating property of a deceased person before it reaches anyone legally entitled. If offender was a clerk/servant of deceased, higher penalty applies.",Up to 3 years + fine (7 years + fine if clerk/servant),Bailable,Non-Cognizable,Offences against property
316(1),Entrusted with property and dishonestly misappropriates or violates the terms of such trust.,"Up to 5 years, or fine, or both",Bailable,Cognizable,Offences against property
316(3),"Entrusted as carrier, wharfinger or warehouse-keeper and misappropriates property.",Up to 7 years + fine,Bailable,Cognizable,Offences against property
316(4),Entrusted in capacity as a clerk or servant and misappropriates entrusted property.,Up to 7 years + fine,Bailable,Cognizable,Offences against property
316(5),"Public servant, banker, broker, agent etc. misappropriating entrusted property.",Life imprisonment or up to 10 years + fine,Non-Bailable,Cognizable,Offences against property
317(2),"Dishonestly receiving or retaining stolen property, knowing or having reason to believe it to be stolen.","Up to 3 years, or fine, or both",Bailable,Cognizable,Offences against property
317(3),"Receiving property stolen via dacoity or from someone in a gang of dacoits, knowing or believing the same.",Life imprisonment or up to 10 years rigorous imprisonment + fine,Non-Bailable,Cognizable,Offences against property
317(4),Habitually receiving or dealing in property known or believed to be stolen.,Life imprisonment or up to 10 years + fine,Non-Bailable,Cognizable,Offences against property
317(5),"Assisting in concealing, disposing of, or making away with property known or believed to be stolen.","Up to 3 years, or fine, or both",Bailable,Cognizable,Offences against property
318(2),"Cheating as per (1), without special aggravating factors.","Up to 3 years, or fine, or both",Bailable,Non-Cognizable,Offences against property
318(3),Cheating with knowledge that wrongful loss is caused to someone whose interest the offender was legally or contractually bound to protect.,"Up to 5 years, or fine, or both",Non-Bailable,Non-Cognizable,Offences against property
318(4),Cheating that dishonestly induces the person to deliver property or make/alter/destroy a valuable security or signed/sealed item capable of being converted into one.,Up to 7 years + fine,Non-Bailable,Cognizable,Offences against property
319,"Cheating by pretending to be someone else, real or imaginary. Includes substitution or misrepresentation of identity.","Up to 5 years imprisonment, or fine, or both",Bailable,Cognizable,Offences against property
320,"Dishonestly or fraudulently transferring, removing, or concealing property to prevent its distribution among creditors.","6 months to 2 years imprisonment, or fine, or both",Non-bailable,Cognizable,Offences against property
321,Dishonestly or fraudulently preventing debts due from being made available for lawful distribution among creditors.,"Up to 2 years imprisonment, or fine, or both",Bailable,Non-cognizable,Offences against property
322,Fraudulently signing/executing a property deed or instrument containing false statements of consideration or intended beneficiaries.,"Up to 3 years imprisonment, or fine, or both",Bailable,Non-cognizable,Offences against property
323,Dishonestly concealing or removing any property (own or others’) or assisting in such removal to avoid legal claims or debts.,"Up to 3 years imprisonment, or fine, or both",Bailable,Non-cognizable,Offences against property
324(1),"Destroying, altering, or damaging property with intent or knowledge of causing wrongful loss/damage.","Up to 6 months imprisonment, or fine, or both",Bailable,Non-cognizable,Offences against property
324(2),Causing loss/damage to any property (including Govt./Local authority),"Imprisonment up to 1 year, or fine, or both",Bailable,Non-cognizable,Offences against property
324(3),Committing mischief causing damage to government or local authority property.,"Up to 1 year imprisonment, or fine, or both",Bailable,Cognizable,Offences against property
324(4),"Committing mischief causing damage worth ₹20,000 or more but less than ₹1 lakh.","Up to 2 years imprisonment, or fine, or both",Bailable,Cognizable,Offences against property
324(5),Committing mischief causing damage of ₹1 lakh or more.,"Up to 5 years imprisonment, or fine, or both",Bailable,Cognizable,Offences against property
324(6),"Mischief with preparation to cause death, hurt, wrongful restraint, or fear thereof.",Up to 5 years imprisonment and fine,Non-bailable,Cognizable,Offences against property
325,"Causing damage by killing, maiming, poisoning, or rendering an animal useless.","Up to 5 years imprisonment, or fine, or both",Bailable,Cognizable,Offences against property
326(a),"Imprisonment up to 5 years, or fine, or both",Cognizable,Bailable,Offences against property,
326(b),"Imprisonment up to 5 years, or fine, or both",Cognizable,Bailable,Offences against property,
326(c),"Imprisonment up to 5 years, or fine, or both",Cognizable,Bailable,Offences against property,
326(d),"Imprisonment up to 7 years, or fine, or both",Cognizable,Non-bailable,Offences against property,
326(e),"Imprisonment up to 1 year, or fine, or both",Non-cognizable,Bailable,Offences against property,
326(f),Imprisonment up to 7 years and fine,Cognizable,Non-bailable,Offences against property,
326(g),"Imprisonment for life, or imprisonment up to 10 years, and fine",Cognizable,Non-bailable,Offences against property,
327(1),Imprisonment up to 10 years and fine,Cognizable,Non-bailable,Offences against property,
327(2),"Imprisonment for life, or imprisonment up to 10 years and fine",Cognizable,Non-bailable,Offences against property,
328,Imprisonment up to 10 years and fine,Cognizable,Non-bailable,Offences against property,
329(3),Criminal trespass as defined in 329(1).,"Imprisonment up to 3 months, or fine up to ₹5,000, or both",Bailable,Non-cognizable,Offences against property
329(4),House-trespass as defined in 329(2).,"Imprisonment up to 1 year, or fine up to ₹5,000, or both",Bailable,Non-cognizable,Offences against property
331(1),Committing lurking house-trespass or house-breaking.,Up to 2 years imprisonment and fine,Bailable,Cognizable,Offences against property
331(2),Committing lurking house-trespass or house-breaking after sunset and before sunrise.,Up to 3 years imprisonment and fine,Bailable,Cognizable,Offences against property
331(3),Committing house-breaking or trespass to commit an imprisonable offence.,Up to 3 years imprisonment and fine (If theft: up to 10 years imprisonment),Non-bailable (if theft),Cognizable,Offences against property
331(4),House-breaking or lurking house-trespass after sunset to commit an imprisonable offence.,Up to 5 years imprisonment and fine (If theft: up to 14 years imprisonment),Non-bailable (if theft),Cognizable,Offences against property
331(5),"Committing house-breaking or lurking house-trespass with preparation to cause hurt, assault, wrongful restraint, or fear thereof.",Up to 10 years imprisonment and fine,Non-bailable,Cognizable,Offences against property
331(6),"Same as above, but after sunset and before sunrise.",Up to 14 years imprisonment and fine,Non-bailable,Cognizable,Offences against property
331(7),"While committing house-breaking or lurking house-trespass, causes grievous hurt or attempts to cause death/grievous hurt.",Imprisonment for life or up to 10 years and fine,Non-bailable,Cognizable,Offences against property
331(8),Jointly committing house-breaking after sunset and voluntarily causing or attempting to cause death or grievous hurt.,Imprisonment for life or up to 10 years and fine,Non-bailable,Cognizable,Offences against property
332(a),House-trespass committed with the intention of committing an offence punishable with death.,"Imprisonment for life or rigorous imprisonment up to 10 years, and fine",Non-bailable,Cognizable,Offences against property
332(b),House-trespass committed with the intention of committing an offence punishable with life imprisonment.,"Imprisonment up to 10 years, and fine",Non-bailable,Cognizable,Offences against property
332(c),House-trespass committed to commit any offence punishable with imprisonment (excluding theft).,Imprisonment up to 2 years and fine,Bailable,Cognizable,Offences against property
332(Proviso),House-trespass committed to commit theft.,Imprisonment up to 7 years and fine,Non-bailable,Cognizable,Offences against property
333,"House-trespass committed with preparation to cause hurt, assault, wrongful restraint, or fear thereof.",Imprisonment up to 7 years and fine,Non-bailable,Cognizable,Offences against property
334(1),"Dishonestly or with intent to commit mischief, breaks open/unfastens any closed receptacle believed to contain property.","Imprisonment up to 2 years, or fine, or both",Bailable,Non-cognizable,Offences against property
334(2),"Entrusted person dishonestly breaks open/unfastens closed receptacle believed to contain property, without authority.","Imprisonment up to 3 years, or fine, or both",Bailable,Non-cognizable,Offences against property
335,"Making, altering, signing, executing, transmitting or affixing an electronic signature to a document dishonestly or fraudulently to make it appear as if it was done by someone else, including in the name of a fictitious or deceased person.",To be specified in the following sections (336 onwards),Non-bailable (in most cases),Cognizable,Offences Relating to Documents and to Property Marks
336(1)-(2),"Making a false document or electronic record with intent to cause damage, injury, support a claim, part with property, enter into contract, or commit fraud.","Imprisonment up to 2 years, or fine, or both",Bailable,Non-cognizable,Offences Relating to Documents and to Property Marks
336(3),Forgery with intent that the forged document/e-record be used to cheat.,"Imprisonment up to 7 years, and fine",Non-bailable,Cognizable,Offences Relating to Documents and to Property Marks
336(4),Forgery with intent to harm reputation or knowing it's likely to be used that way.,"Imprisonment up to 3 years, and fine",Bailable,Non-cognizable,Offences Relating to Documents and to Property Marks
337,"Forgery of court records, identity documents (Aadhaar, voter ID), public registers, certificates by public servants, or power of attorney.","Imprisonment up to 7 years, and fine",Non-bailable,Cognizable,Offences Relating to Documents and to Property Marks
338,"Forging a will, valuable security, authority to adopt a son, or any document related to transferring or receiving money, property, or security.","Imprisonment for life, or up to 10 years, and fine",Non-bailable,Cognizable,Offences Relating to Documents and to Property Marks
339,"Having possession of a forged document (from Sec 337 or 338), knowing it to be forged and intending to use it as genuine.",If under 337: Up to 7 years and fine; if under 338: Life imprisonment or up to 7 years and fine,Non-bailable,Cognizable,Offences Relating to Documents and to Property Marks
340,Knowingly or fraudulently using a forged document or electronic record as genuine.,Same punishment as for forging that document,Bailable/Non-bailable (depends on type of document),Cognizable/Non-Cognizable (depends on type),Offences Relating to Documents and to Property Marks
341(1),"Making or possessing counterfeit seals, plates, or instruments intending to commit forgery of valuable securities, wills, or related documents (Section 338).","Imprisonment for life, or up to 7 years, and fine",Non-bailable,Cognizable,Offences Relating to Documents and to Property Marks
341(2),Making or possessing counterfeit instruments intending to commit forgery under any section of the Chapter (excluding Section 338).,"Imprisonment up to 7 years, and fine",Non-bailable,Cognizable,Offences Relating to Documents and to Property Marks
341(3),"Possession of any counterfeit seal, plate, or instrument knowingly.","Imprisonment up to 3 years, and fine",Bailable,Non-cognizable,Offences Relating to Documents and to Property Marks
341(4),Fraudulently using any counterfeit seal or instrument as genuine.,Same punishment as if he had made or counterfeited the instrument,Based on applicable sub-section,Based on applicable sub-section,Offences Relating to Documents and to Property Marks
342(1),"Counterfeiting a mark or device used to authenticate documents under Section 338, or possessing such material with intent to use for forgery.","Imprisonment for life, or up to 7 years, and fine",Non-bailable,Cognizable,Offences Relating to Documents and to Property Marks
342(2),Same as above but for other (non-Section 338) documents or electronic records.,"Imprisonment up to 7 years, and fine",Non-bailable,Cognizable,Offences Relating to Documents and to Property Marks
343,"Fraudulently/dishonestly cancels, destroys, defaces, or secretes a will, authority to adopt, or valuable security; or commits mischief in respect thereof.","Imprisonment for life or up to 7 years, and fine",Non-bailable,Cognizable,Offences Relating to Documents and to Property Marks
344,"Clerk/servant destroys, alters, falsifies accounts or makes false entries with intent to defraud; general intent to defraud is sufficient to constitute offence.","Imprisonment up to 7 years, or fine, or both",Non-bailable,Cognizable,Offences Relating to Documents and to Property Marks
345(3),Using a false property mark with intent to defraud (intent presumed unless proved otherwise).,"Imprisonment up to 1 year, or fine, or both",Bailable,Non-cognizable,Offences Relating to Documents and to Property Marks
346,"Removes, destroys, defaces, or alters any property mark with intent or knowledge it may cause injury to any person.","Imprisonment up to 1 year, or fine, or both",Bailable,Non-cognizable,Offences Relating to Documents and to Property Marks
347(1),Counterfeits any property mark used by another person.,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-cognizable,Offences Relating to Documents and to Property Marks
347(2),"Counterfeits property mark used by a public servant or mark indicating quality, origin, time, or exemption; or knowingly uses such counterfeit mark as genuine.","Imprisonment up to 3 years, and fine",Non-bailable,Cognizable,Offences Relating to Documents and to Property Marks
348,"Makes or possesses any die, plate, or instrument for counterfeiting a property mark, or possesses a false property mark intending to falsely denote ownership of goods.","Imprisonment up to 3 years, or fine, or both",Bailable,Non-cognizable,Offences Relating to Documents and to Property Marks
349,"Sells or has for sale goods with counterfeit property marks, unless proven innocent or unaware despite reasonable precautions.","Imprisonment up to 1 year, or fine, or both",Bailable,Non-cognizable,Offences Relating to Documents and to Property Marks
350,"Makes or uses any false mark on a receptacle (case, package, etc.) to misrepresent the contents (type, presence, or quality of goods), reasonably likely to deceive others including public servants; unless proven done without fraudulent intent.","Imprisonment up to 3 years, or fine, or both",Bailable,Non-cognizable,Offences Relating to Documents and to Property Marks
351(1),"Threatening a person (or someone they care about) with injury to body, reputation, or property to cause alarm or compel action/inaction. Threats to the reputation of deceased persons are also covered.","Imprisonment up to 2 years, or fine, or both",Bailable,Non-cognizable,"Offences of Criminal Intimidation, Insult, etc."
351(3),"Threats involving death, grievous hurt, fire damage, serious offences, or imputing unchastity to a woman.","Imprisonment up to 7 years, or fine, or both",Non-bailable,Cognizable,"Offences of Criminal Intimidation, Insult, etc."
351(4),Anonymous threats or threats made with concealment of identity.,Up to 2 years in addition to punishment under Section 351(1),Bailable,Non-cognizable,"Offences of Criminal Intimidation, Insult, etc."
352,Intentionally insulting someone to provoke them into breaking the peace or committing an offence.,"Imprisonment up to 2 years, or fine, or both",Bailable,Non-cognizable,"Offences of Criminal Intimidation, Insult, etc."
353(1),"Making, publishing, or circulating any statement or rumour (including via electronic means) to incite mutiny, cause alarm, or incite offences between communities.","Up to 3 years imprisonment, or fine, or both",Bailable,Cognizable,"Offences of Criminal Intimidation, Insult, etc."
353(2),"Circulating false information with intent to promote hatred or enmity between groups based on religion, race, caste, language, etc.","Up to 3 years imprisonment, or fine, or both",Bailable,Cognizable,"Offences of Criminal Intimidation, Insult, etc."
353(3),Committing the offence under 353(2) in a place of worship or during religious ceremonies.,Up to 5 years imprisonment and fine,Non-bailable,Cognizable,"Offences of Criminal Intimidation, Insult, etc."
354,Causing someone to act or omit to act by making them believe they will become an object of divine anger/displeasure.,"Up to 1 year imprisonment, or fine, or both",Bailable,Non-cognizable,"Offences of Criminal Intimidation, Insult, etc."
355,Appearing intoxicated in a public place or trespassing and causing annoyance in such state,"Simple imprisonment up to 24 hours, or fine up to ₹1000, or both, or community service",Bailable,Non-cognizable,"Offences of Criminal Intimidation, Insult, etc."
356,"Making/publishing any imputation to harm a person’s reputation through words, signs, or visible representations. Includes exceptions based on public good, good faith, etc.","Simple imprisonment up to 2 years, or fine, or both, or community service",Bailable,Non-cognizable,"Of Defamation (Criminal Intimidation, Insult, etc.)"
357,"Breach of lawful duty to care for a helpless person (due to youth, mental illness, disease, etc.) under a contract","Imprisonment up to 3 months, or fine up to ₹5,000, or both",Bailable,Non-cognizable,Of Breach of Contract to Attend on and Supply Wants
