BNS Section,Category,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10
198,Filing false case against witness or informant,My cousin was framed in a false case after he told truth.,The accused filed fake theft FIR against the witness.,I gave statement and now they filed cheating case against me.,Someone got revenge by filing false charges.,What if someone is punished for supporting police?,The informant was dragged into fake dowry case.,A false fraud case was filed after court trial.,Police didn’t take action even after informing about threats.,Is it legal to file false FIR to scare a witness?,My cousin was falsely accused just to silence him.
199,Giving false complaint under false identity,A man gave complaint in fake name.,They called police using someone else's identity.,My uncle filed FIR as if he was my father.,Can a false identity in police complaint be punished?,What if a complaint is made with forged Aadhaar?,They created fake voter ID to file case.,My cousin posed as victim’s brother in complaint.,Police took complaint and later found identity fake.,False address and name used to register case.,Someone blamed me using another person's name.
200,Deliberately giving false information in court,A witness told lies in front of judge knowingly.,He said he was present during fight – he wasn’t.,False details about injury were given to judge.,My cousin lied about seeing the incident.,Can false story in court be punished?,They described false sequence of events in trial.,"Someone said I attacked him, but it was fake.",The woman gave fake testimony to help her brother.,False medical condition was narrated during bail hearing.,Judge found the witness’s story completely false.
201,Causing disappearance of evidence of offence,My brother burned the shirt with blood stains.,We hid the knife used in the fight.,Is it wrong if I washed blood from the floor?,They removed the CCTV footage from the shop.,Someone threw the phone used in blackmail into the river.,Can police arrest me for hiding murder evidence?,My cousin helped dispose of the weapon.,I told my neighbor to hide the bike used in robbery.,They changed the clothes after assault to confuse police.,We cleaned the spot before police arrived.
202,Giving false information to screen offender,My uncle told police that the accused was with him during the crime.,I lied that my brother was at home when he was stealing.,Can I be punished for helping a guilty person avoid jail?,My neighbor gave fake alibi to protect his son.,He said the thief was not at the village that night.,I told police wrong story to save my cousin.,The teacher gave false testimony to save a student.,My friend lied in court to help me avoid case.,Can people go to jail for shielding criminals?,They created a fake excuse to save the attacker.
203,Giving false information to cause harm,My cousin gave police a fake tip just to trap me.,Someone lied that I was dealing drugs.,He called police and falsely said I stole his bike.,My uncle gave police wrong info about my location.,What if someone lies just to get another arrested?,I got blamed for something I never did because of his lie.,"A man said I threatened him, which was false.",He made up a story and gave it in writing to police.,False info was given to officer about me hiding liquor.,Can this law punish false informants?
204,Destruction of document to prevent its production as evidence,My neighbor tore the loan paper before court hearing.,My brother burned his land agreement before showing it.,Someone destroyed the receipt to avoid paying money.,They deleted contract file from computer before trial.,Can police arrest for tearing a legal paper?,He broke the diary containing all records.,My cousin threw the proof letter into fire.,Shopkeeper destroyed CCTV pen drive.,They didn’t bring the paper and said it was lost.,Can tampering or destroying paper lead to jail?
205,False personation to commit or defend a case,He came to court pretending to be my brother.,A fake person signed on bail bond.,My cousin showed up as me in land case.,Someone gave statement using my Aadhaar details.,They hired someone to appear in their name.,Can court punish false appearance in someone else’s name?,A stranger came to settle the case using my identity.,The accused sent another person to trial.,My name was used by someone else for illegal case.,I didn’t even know a case was filed using my name.
206(a),Fraudulently preventing property from lawful seizure,My uncle shifted items from house to avoid recovery.,The man removed furniture before loan officers came.,They moved the tractor to another village overnight.,My cousin told me to hide bike before police arrived.,I saw my neighbor remove goods before sealing.,Can police punish for hiding property from seizure?,He gave property to friend to avoid confiscation.,A man forged papers to stop seizure.,The landlord lied to prevent shop from being sealed.,"We were told not to move items, but they did."
206(b),Dishonestly transferring property to avoid attachment,A farmer gave land to son to avoid recovery.,My cousin gifted land to wife after court notice.,Can I be punished for transferring land before seizure?,They sold house cheaply to avoid court attachment.,My brother signed property to friend just to avoid loan recovery.,The accused shifted ownership to escape compensation.,Is such fake sale deed a crime?,The house was put under mother's name to avoid sealing.,I signed a gift deed to protect land – is that okay?,Can court cancel fake transfers made to avoid law?
207(a),Fraudulently claiming property to prevent rightful possession,"My uncle claimed he owns our farm, which he doesn’t.",He told police the house belongs to him falsely.,Can you go to jail for claiming someone else's land?,My brother is falsely claiming our joint land.,The neighbor gave fake papers to stop our possession.,A fake will was used to block our property claim.,"They said land was theirs, but had no proof.",Someone tried to grab widow’s land with fake documents.,My cousin told patwari lies to take over our land.,What if I falsely say a house is mine?
207(b),Knowingly using false claim to delay or defeat rights,He used fake stay order to stop road work.,My uncle got an illegal injunction using false facts.,A woman filed false case to delay possession handover.,The accused blocked refund by showing false claim.,Can court punish for delaying justice using lies?,My cousin lied to delay our house registration.,False plea was submitted just to stop compensation.,What happens if someone misuses law to block rightful work?,I faced loss because of someone’s fake stay request.,Someone used court to delay inheritance using lies.
208(a),Committing offence outside India against Indian law,My relative committed fraud from Dubai against me in India.,A man made fake calls from Nepal and cheated me.,What happens if someone commits crime abroad but affects India?,My friend was threatened online from a foreign account.,My brother-in-law did cybercrime from UK.,Someone looted money via NRI scam from outside India.,A man from abroad promised job and cheated us.,Can BNS apply to crimes done outside India?,Is foreign crime against Indian citizen punishable?,I was harassed from number traced to USA.
208(b),Abetment of offence committed outside India,Someone helped plan fake passport scam from India.,My uncle sent money to support fraud in Bangladesh.,A cousin guided someone from here to commit a crime abroad.,They planned cybercrime in India that happened abroad.,Is it punishable to assist crime done in another country?,He gave details from India to cheat foreigners.,My friend trained a gang from here to rob in Nepal.,Indian link was found in foreign trafficking case.,What if I helped in a foreign crime?,A man guided violence in Sri Lanka from India.
209,Offences by companies,A private school faked its student records.,The milk factory added harmful chemicals knowingly.,A company sold expired food items.,Who is responsible if firm commits crime?,The factory dumped waste in river.,Can owners be jailed if company breaks law?,Our cooperative gave fake loan papers.,Builder cheated villagers by not giving plots.,A mobile company misled users through false ads.,My employer took money for job and didn’t give.
210(a),Failure of public servant to record information,The police refused to write down my complaint.,I told the officer everything but he didn’t note it.,What if my complaint is ignored at the thana?,My application about land fight wasn’t entered in register.,The lady officer said “yeh kaam nahi hai mera” and sent me back.,No one wrote my FIR even after 3 visits.,I gave details but nothing was written officially.,My statement was not recorded even after I waited all day.,Can a police officer be punished for ignoring a complaint?,The constable said write in English or leave.
210(b),Failure of public servant to investigate offence,The police didn’t come even after giving complaint.,No officer visited the site after I reported the theft.,"It’s been 10 days, no investigation on my brother’s attack.",The constable laughed when I asked for help in fraud.,Can officers be punished for not doing proper investigation?,Police didn’t talk to witnesses after murder in village.,I gave name of suspect but they didn’t question him.,Police took money but did nothing in the assault case.,"Even after medical, no one followed up on harassment.",Is it illegal if they intentionally delay checking?
211(a),Disobedience of direction under law,They broke the lockdown rule despite clear instructions.,People gathered despite Section 144 orders.,Can someone be arrested for ignoring curfew notice?,The shop stayed open beyond time despite warnings.,A man ignored the order to vacate road.,My neighbour continued loudspeaker use against collector’s order.,A vendor kept selling banned seeds.,Can breaking government ban bring jail?,"I was told not to enter market, but others went.",What if someone defies public health rules?
211(b),Causing obstruction to lawful authority,Villagers blocked road for revenue officer.,They didn’t allow health workers into quarantine house.,Can you be jailed for stopping official work?,Someone stopped the constable from arresting a criminal.,My cousin pulled down notice from municipal board.,People surrounded van and didn’t let officers leave.,My uncle threatened officers with sticks during land check.,A group blocked entry to govt school building.,Villagers sat in front of tractor to stop eviction.,What if we didn’t allow patwari to do his duty?
211(c),Assaulting or using criminal force to deter public servant,My cousin slapped the officer during ration inspection.,A man pushed the tehsildar during survey.,My uncle threatened the female officer with violence.,They broke the stick of forest guard and chased him.,Is there jail for hitting govt employees?,My neighbour beat up the nurse during vaccination.,They poured water on police during seizure.,My friend pulled the revenue officer by collar.,Villagers attacked health worker who came to test COVID.,Can we file complaint if officer was assaulted?
212(a),Giving false information to public servant,I gave wrong age in ration card form.,Someone gave false income to get pension.,I said I live in village but I stay in city.,My cousin lied about land size to patwari.,Is false info in govt form punishable?,"A man said he had no borewell, but he did.",They gave wrong Aadhaar number in school form.,My brother lied about caste to get certificate.,Is it serious to lie in benefit forms?,"My uncle said he had no house, but he owns land."
212(b),Using a false document as genuine,They used a fake caste certificate for scholarship.,My cousin gave forged mark sheet for job.,I submitted false income proof for benefit.,The builder used fake approval letter.,A man used duplicate land papers in bank.,Can you be jailed for giving false certificate?,I didn’t know the paper was fake—what now?,School admitted child using fake transfer certificate.,Farmer got subsidy using edited electricity bill.,I used someone else’s ID for bank form.
213,Fabricating a document to commit fraud,My uncle made a fake will to claim property.,They printed fake bank passbook for loan.,A man forged death certificate to grab land.,Someone made fake PAN card to take money.,Can court punish for creating fake documents?,My cousin faked birth certificate for job.,A group printed ration cards for fake names.,I was shown a fake sale deed in land deal.,He made fake bail papers to avoid arrest.,The doctor gave fake fitness certificate for bribe.
214,Forgery for the purpose of cheating,Someone forged my signature to take loan.,My cousin gave cheque with forged account number.,A man faked my ID to buy SIM.,A builder showed forged plan approval.,Can I get police help if I was cheated with forgery?,My brother signed my name on property form.,A man cheated me with fake guarantee.,What’s the jail term for forgery with cheating?,I was tricked by forged Aadhaar in land deal.,They created duplicate stamps and cheated public.
215,Possession of forged documents,My cousin had fake land deed at home.,Police found forged documents in school bag.,A man carried fake ID and license.,Someone kept multiple forged ration cards.,My uncle had false insurance policy papers.,Is having fake papers a punishable crime?,What if I didn’t know document was fake?,They caught a man with many forged certificates.,My brother had duplicate railway pass.,Shopkeeper kept fake bills and vouchers.
216,"Counterfeiting government stamps, seals",They made fake revenue stamps for property deal.,A man used duplicate court seal.,Builder printed fake approval seals.,My cousin had fake income certificate seal.,Can police arrest for stamp counterfeiting?,My uncle used false govt mark to cheat.,School gave mark sheet with fake signature.,Someone sold paper with duplicate govt seal.,Shop used seal of health department without permission.,What is punishment for fake seals?
217,Counterfeiting currency or banknotes,A man paid me with a fake ₹500 note.,My cousin printed duplicate ₹2000 notes.,Someone gave forged note in village shop.,My friend used fake currency at petrol pump.,Can police arrest immediately for fake notes?,The ATM gave me a fake note—what now?,They caught a man printing currency.,I got fake note in market – who to report?,What happens if I unknowingly use fake note?,Police raided home with fake note machine.
218,Possession and use of counterfeit currency,My cousin had 5 fake ₹500 notes in wallet.,Someone gave 10 fake notes in wedding.,I found fake note in cash – am I in trouble?,He knowingly used duplicate currency in mandi.,What if person knew currency was fake?,A man gave fake note in loan repayment.,My brother spent forged note in medicine shop.,Someone paid school fee with fake ₹100 note.,Can person go to jail for using forged money?,Shopkeeper returned money after noting it was fake.
219,Making or using counterfeit documents for public authority,Someone made fake tender documents for Panchayat.,My cousin submitted false NOC for construction.,A man created fake appointment letter from govt.,What if false papers are used to get govt job?,My friend used fake approval letter for NGO funding.,They submitted false inspection report to get license.,Can this be punished under law?,The teacher used fake service record for promotion.,Is using fake paper to fool govt serious crime?,I gave false affidavit in Gram Sabha to get land.
220,Breach of trust by public servant,The Patwari took bribe to change records.,My village secretary sold ration illegally.,A government doctor sold hospital medicines.,The teacher used school funds for personal use.,Can government officer go to jail for cheating public?,"My cousin, a clerk, diverted money to private account.",Police officer kept seized item for himself.,A postman opened letters with money inside.,Gram Pradhan used grant for family expenses.,Aanganwadi worker faked attendance to take salary.
221,Criminal breach of trust,My neighbor took money for a wedding gift but used it for himself.,The Gram Pradhan kept villagers’ money for his own use.,"I gave my cousin cash for land papers, but he ran away.",My brother handled family gold and sold it without telling.,Is using someone else’s money without permission a crime?,"My uncle took our goat to sell, but never gave us money.",A teacher took exam fees but didn’t deposit them.,Our society treasurer used maintenance funds for his shop.,"I gave a mobile to sell, but he kept it.",He was entrusted with grains but sold them off.
222,Dishonest misappropriation of property,I found a lost phone but kept it instead of returning.,My cousin used temple money for personal shopping.,A farmer got subsidy equipment but sold it.,My sister took my sewing machine and refuses to return it.,Can you be jailed for using someone’s property without permission?,My neighbour used our buffalo without asking.,A man took panchayat cycle and didn’t return.,My uncle kept the government tool kit given to others.,A student used library laptop for his tuition center.,I found someone’s wallet and didn’t return it.
223,Criminal breach of trust by public servant,A patwari sold land belonging to poor people.,The village clerk took bribes to issue fake certificates.,"My cousin, who is a constable, kept money from seizure.",What if a government servant cheats public money?,Our school teacher took funds meant for mid-day meals.,The health officer sold government medicines.,My friend at Panchayat Bhawan issued fake ration cards.,Government contractor faked expenses and ate up funds.,I heard a forest officer took bribe to allow tree cutting.,Someone misused temple committee money for own needs.
224,Theft,Someone stole my buffalo at night.,My mobile was taken while sleeping on train.,My crop sacks were stolen from the field.,I saw a man break open the shop door.,What punishment is there for stealing livestock?,My brother’s cycle was stolen from school.,Is theft from house treated more seriously?,Someone broke my lock and took ration.,The temple donation box was emptied last week.,I caught a child stealing biscuits—what to do?
225,Theft in a dwelling house or place of worship,The thief entered our home at night.,Someone stole fan and utensils from our kitchen.,My cousin’s jewellery was stolen during wedding.,The temple had its bell and idols stolen.,A thief took away the cash kept near the god’s statue.,Can temple theft bring more punishment?,My house was broken into when we were away.,They took clothes and food from our hut.,Someone cut the iron grill to enter our home.,Is house theft more serious than normal theft?
226,Theft by clerk or servant,My domestic helper stole gold ring from drawer.,Our accountant took extra money from daily cash.,A driver took diesel from tractor tank secretly.,The servant ran away with employer’s phone.,A worker took shop money without telling owner.,Is theft by helper treated as serious offence?,My cousin’s cook sold grocery meant for home.,A tailor's assistant took cloth bundles from shop.,I found my driver using the office card for petrol.,A cleaner stole mobile from the hospital room.
227,Snatching,My bag was snatched on the way to bazaar.,Someone pulled my gold chain in the crowd.,A biker snatched purse from mother.,A man forcefully took my phone in the market.,What to do if snatching happens suddenly?,My cousin’s tablet was snatched near school.,They snatched my husband’s wallet at bus stop.,The auto driver ran away after taking bag.,I saw two men snatch earrings from a girl.,Can police trace snatchers through CCTV?
228,Extortion,"A man said he’ll harm my child if I don’t pay him ₹10,000.",My cousin was forced to give money after threats.,They said they’ll leak my photos unless I pay.,The thug demanded money at knife point.,Can someone be jailed for taking money through fear?,My friend was forced to transfer money on phone.,They came with sticks and asked for “protection fee.”,A man threatened to file fake case unless paid.,I was told to pay monthly or face trouble.,Is threatening for money called extortion?
229,Putting person in fear of injury for extortion,My cousin said he will beat me unless I give money.,They threatened to burn my shop if I don’t pay.,I was told my daughter will be kidnapped unless I give ₹5000.,What is the punishment for threatening and demanding money?,A group threatened to break my leg over loan.,Someone said I’ll lose my job if I don’t pay them.,Can fear-based demands be reported to police?,They said they’ll stop my ration card if I refuse money.,A boy threatened to post my photos for money.,They told my father they’d ruin our crop if unpaid.
230,Robbery,A group looted our house with weapons.,My uncle was beaten and robbed at night.,Masked men entered our store and took everything.,The postman was robbed of his delivery cash.,My aunt was held at knife point for jewellery.,Can armed robbery lead to life sentence?,I was forced to give money on gunpoint.,Someone broke our door and looted the grain.,They tied us up and took the motorbike.,Can villagers stop dacoity by reporting quickly?
230(1),Robbery,A man threatened my father with a knife and stole his bag.,They beat my cousin and took his chain.,Someone pushed my mother and ran off with her gold.,He entered with a stick and demanded money.,Can I report someone who stole by fear?,My brother’s wages were snatched outside factory.,They took my phone while showing a weapon.,My uncle was robbed at night near temple.,A gang entered shop and took all cash.,My neighbor was looted on highway at gunpoint.
230(2),Robbery causing hurt,The robbers broke my head while taking my bag.,My mother got injured during the loot.,They hit my uncle with a rod and stole everything.,Can robbery with injury lead to life sentence?,Someone pushed my cousin into drain after snatching.,My brother’s hand was fractured during robbery.,He was bleeding after the robbers attacked him.,I was stabbed while trying to stop them.,My daughter was kicked when they took her chain.,A shopkeeper was hit and looted by 3 men.
231,Dacoity,Five men came with lathis and looted the whole house.,A group broke in and took away all grains.,More than 5 people attacked our farm and stole tractor.,They tied us and looted our home together.,Is robbery by group called dacoity?,"They entered with sticks, rods, and took animals.",Can dacoity happen in daytime too?,Our store was looted by a big gang.,What if all wore masks and left fast?,Our harvest sacks were taken by a gang at night.
232(1),Preparation to commit dacoity,Villagers caught men hiding with iron rods at night.,They were gathered near canal with sticks.,Police found rope and bags near abandoned hut.,Is planning dacoity also crime even if not done?,They were waiting outside temple with masks.,Our neighbor informed about men preparing to loot.,They had sacks and axes near closed house.,My cousin saw men watching shop suspiciously.,They had gathered near road with weapons.,Police found fire torch and fuel near scene.
232(2),Assembly for dacoity,They were caught with 5 people sitting near godown.,A group of men were seen discussing loot plan.,Police arrested six men from jungle area.,They had bikes and talked about looting temple.,Can just being together for loot get jail?,A gang was waiting near road for robbery.,Police said group size makes it serious.,They were arrested before doing anything.,Is gathering with weapons enough for arrest?,All of them came from different villages.
233,Belonging to gang of dacoits,My cousin is part of a group that does robberies.,Police said he is in list of known gang members.,They always move in a group and do crimes.,Is it crime to just be part of such gang?,He never robs but moves with looters.,They share things looted from other houses.,Someone said they train to loot in forest.,Are gang members arrested without fresh crime?,Police raided their camp in hills.,What if person has not done robbery but part of group?
234,Public servant disobeying law with intent to cause injury,Officer didn’t register our complaint even after bribe.,Patwari denied entry in land record without reason.,Tehsildar ignored court order to delay our justice.,A clerk gave fake info to help someone cheat.,Can public officer be punished for misusing duty?,Village secretary gave funds to wrong person.,Officer refused service even when rules allowed.,My name was cut from list without process.,Is refusal to act by officer punishable?,My pension was stopped without reason by office.
235,Fraudulent removal of property to avoid creditors,He sold house to sister to avoid paying loan.,They shifted tractor to cousin’s name during court case.,My uncle hid gold when bank came for recovery.,Can hiding property from bank be crime?,Land was gifted to minor child to avoid seizure.,He moved shop items to friend’s place.,A man faked theft to save car from loan case.,He told me to hide harvest when loan officer comes.,Is selling property during debt dispute allowed?,My cousin shifted cattle to escape court recovery.
236,Fraudulent execution of deed with false statements,He claimed he owns land but papers were false.,The land registry had wrong area mentioned.,He added name of fake witness in land papers.,Can giving false land data be punished?,My cousin showed wrong map in court.,Sale deed mentioned no dispute but land was under case.,They changed father’s name in documents.,Can we file FIR for fake registry?,My brother-in-law signed property in name of dead person.,Someone used my signature without asking.
237,Mischief,Someone broke our water pipe at night.,My field was flooded intentionally by rival.,Our borewell switch was tampered.,Is damage to property a punishable offence?,They damaged school chairs for fun.,Wall was broken by tractor intentionally.,Cattle shed was burnt in revenge.,Can we report broken solar light as mischief?,A child damaged neighbor’s tools on purpose.,My lock was broken even when nothing stolen.
238(1),Mischief by fire,Our haystack was burnt at night by someone.,He poured kerosene on our hut and ran.,My goat shed caught fire due to neighbor’s action.,Can fire damage be treated as crime?,Someone burned our grain sacks secretly.,We caught a man with matchbox behind house.,My cousin’s house roof was set on fire.,Police said torching someone’s house is serious offence.,Can we claim damage if fire was from jealousy?,Someone tried to burn our motor room.
238(2),Mischief by explosive,A boy threw cracker near our fuel tank.,My brother’s shop was damaged by homemade bomb.,They exploded cracker inside school toilet.,A man placed explosive near field pump.,Can illegal crackers lead to jail?,Gas cylinder was used to scare us.,Someone placed firework in grain storage.,Our granary was damaged due to blast.,Is using explosive for fear a crime?,Firecracker exploded near my child intentionally.
238(3),Mischief causing public danger,A man left broken wire hanging near path.,They poured oil on road causing bike slip.,Our drinking water was mixed with dirt.,Is endangering others' safety a punishable offence?,They put glass pieces in field path.,Someone dropped poison bottle in village pond.,School bus road was blocked with stones.,A trap was set near public tap.,Road was broken intentionally before festival.,A metal pipe was placed on electric pole.
239,Mischief to destroy house,Someone came at night and broke our wall.,My home’s roof was damaged with stones.,They tried to burn house while we were away.,He broke support pole of kitchen.,Can destroying home be serious charge?,Police said house attack is major crime.,Wall was pulled down during dispute.,They cut rope holding veranda roof.,My cowshed wall was set on fire.,House entry door was broken with axe.
240,House destruction after preparation,They came with hammer and rope to break house.,My hut was set on fire after planning.,A man entered with matchbox and kerosene.,Is planning to destroy home more serious?,Police caught them near wall with tools.,My brother-in-law brought acid to destroy home.,They had spade and axe hidden near fence.,Can intent with tools lead to jail?,Our CCTV caught men with preparation.,They came with truck and iron rods to pull down walls.
241,Theft,Someone stole my bicycle from the courtyard.,My goat was taken from the shed at night.,They took our grains without permission.,A phone was stolen from my son during fair.,Is stealing crops from my field theft?,They opened the lock and took utensils.,"I kept money for medical bills, now it’s gone.",Someone stole diesel from our water pump.,Two sacks of wheat were missing from our barn.,They took fan from temple without asking.
242,Theft in a dwelling house,Someone entered our hut and took money.,They stole gold ornaments kept inside my room.,My neighbor’s TV was taken at night.,Thief came in when we were asleep.,My sister’s mobile was stolen from the house.,They entered the home and took clothes and cash.,I lost valuables from locked trunk in room.,Can house theft happen if door was open?,Someone came through window and took things.,Theft happened in day when no one was home.
243,Theft by clerk or servant,Our servant took my father’s wallet.,Helper in our shop stole money from counter.,Driver ran away with my bag full of cash.,Can we punish someone hired who stole from us?,Cook stole our grocery money.,Maid took jewelry from almirah.,Laborer working in godown stole grain sacks.,House boy was caught hiding stolen items.,Farmhand took pesticide and sold it.,Helper took mobile and didn’t return next day.
244,Dishonest misappropriation of property,My friend took my cycle and never returned it.,"I gave phone for repair, he kept it.",A neighbor used my cow and sold the milk.,Someone kept the money I sent by mistake.,My relative used my land tools without asking.,He took our diesel and used it for his tractor.,"I gave seeds to distribute, but he sold them.","I sent clothes for stitching, they sold them.",They took our water motor and didn’t give it back.,My friend borrowed money and now refuses to return.
245,Criminal breach of trust,"I gave gold to friend to keep, now he denies it.",Shopkeeper took my money and didn’t deliver items.,"I trusted cousin with money for marriage, he ran.",My relative got land documents and changed ownership.,Loan collector kept extra money without reason.,School head took exam fees and didn’t register us.,"My brother gave cash for work, mason vanished.",Worker used our money for his own field.,Contractor took advance and did no work.,Bank manager used my account funds for himself.
246,Criminal breach of trust by public servant,The Panchayat officer took bribe and kept government form.,Anganwadi worker didn’t distribute food packets and sold them.,Government official took money for scheme but gave nothing.,Can officers be punished for misusing government funds?,Officer promised job and took money.,Patwari altered land record for money.,Government worker didn't give pension even after approval.,Gram sevak took name off list after payment.,Teacher took scholarship money from students.,Officer held ration cards and sold extra stock.
247,Cheating,He took my money promising job and disappeared.,Someone sold me fake gold ring.,"My uncle gave me land, later claimed it was his.",I was told goat is healthy but it died next day.,"Man said loan is free, later asked for big interest.",Mobile shopkeeper gave second-hand phone as new.,"I paid advance for bike, they never delivered.",Promised training for job but nothing happened.,They took registration fee but gave no result.,I was tricked into signing blank paper.
248(1),Cheating and dishonestly inducing delivery of property,Someone convinced me to give my bike on rent but sold it.,"Man said he will double money and took ₹10,000.","They told me land is theirs, later found it was not.",He showed fake land papers and took ₹1 lakh.,I was forced to give goods by lies.,I was asked for donation and later it was fraud.,Took my jewelry saying it will be returned next day.,I was fooled into transferring money via QR.,He claimed to be from government and took documents.,They cheated many by showing fake office.
248(2),Cheating by personation,Someone came as government officer and took money.,A man claimed to be from electricity board and took ₹500.,They dressed like police and demanded bribe.,A boy acted as school inspector and took donation.,Man posed as surveyor and took our land info.,Fake doctor gave medicine and took money.,Someone faked as my son’s friend and took cash.,A woman came as NGO worker and asked for fees.,Shopkeeper posed as agent and looted us.,Man claimed to be MLA's PA and cheated us.
249(a),Forgery,Someone made fake land documents in my name.,My signature was copied on check.,They printed fake ID card with my photo.,My cousin forged marksheet to get job.,False papers were submitted in property dispute.,My father’s will was tampered after his death.,School certificate was altered by changing date.,Temple account was manipulated using fake bills.,Pension papers had forged stamp.,Forged signature used to transfer money.
249(b),Using forged document as genuine,My neighbor used fake land deed to claim our land.,They submitted false property documents in court.,Bank gave loan based on fake salary slip.,Man used forged ID to get SIM card.,Used fake certificate for scholarship.,Shopkeeper gave forged bill for GST benefit.,My friend showed fake experience letter to company.,A false ration card was used to get benefits.,Police caught someone using forged driving license.,Can forged paper user be jailed even if not creator?
249(c),Forgery for cheating,Someone faked loan documents to cheat bank.,A man created fake receipt to claim refund.,They made false ration card to get free food.,My cousin forged pay slip to avoid loan repayment.,He made fake insurance claim with false report.,My tenant made fake rent agreement.,A youth used fake caste certificate to get reservation.,Woman forged marriage certificate to claim money.,Can forgery for cheating be jailed?,Man created fake invoice to cheat me on goods.
250(a),Counterfeiting currency,Someone gave me a fake ₹500 note at the market.,My shopkeeper received a bundle of fake notes.,A man was caught printing money in our village.,Can people be jailed for using duplicate money?,I was tricked with a fake ₹2000 note.,My cousin got fake money from ATM.,They were spreading fake notes during festival.,Someone gave us fake currency in cattle fair.,I sold grains and got all duplicate notes.,He showed real money but switched with fake notes.
250(b),Possessing counterfeit currency,My friend was caught with 3 fake notes in his wallet.,A man was hiding fake currency at his home.,Police found fake notes inside a shop's drawer.,He was carrying fake notes but said he didn’t know.,Is having fake money without knowledge a crime?,They found a whole packet of duplicate notes.,Someone said notes came from the city shop.,I was given fake money to buy things in town.,He gave me a fake ₹100 and said it's new.,They found fake coins in a truck during checking.
250(c),Using counterfeit currency,A man paid his shop bill with fake currency.,My neighbor used duplicate ₹2000 at petrol pump.,Someone bought clothes with fake ₹500 note.,Is using fake note without knowing still punishable?,A boy used photocopy note to buy snacks.,They gave me fake money during wedding.,Shopkeeper says customer always pays fake cash.,He tried to pay school fees with forged note.,A person used fake note in weekly market.,Is it crime if fake note was passed unknowingly?
251(a),Counterfeiting government stamps,Someone printed fake land stamp paper in village.,A boy was selling forged stamp papers outside court.,"Stamp duty paper was not original, says officer.",He gave me court paper with fake government stamp.,How to know if stamp paper is genuine?,Can printing fake stamps lead to jail?,Stamp vendor was caught with duplicates.,Marriage registration stamp was found fake.,Government office rejected document due to stamp.,My cousin bought forged stamp unknowingly.
251(b),Possession of counterfeit stamps,My uncle found fake stamp paper in his shop locker.,They had 10 stamp papers with no watermark.,Court rejected my papers due to fake stamps.,Can I be punished if I didn’t know it was fake?,Panchayat office found 3 fake legal papers.,I received fake land documents with bad stamp.,Brother-in-law was caught holding forged legal forms.,Land deal stamp paper turned out to be fake.,He had bunch of stamp papers with same number.,What if stamp seller gives me fake ones?
251(c),Using counterfeit stamps,He used a fake stamp paper for our loan agreement.,Someone gave us fake land registry paper.,I paid money on forged stamp for marriage.,My neighbor submitted duplicate stamp to court.,Fake stamp paper was used for partition deed.,School certificate had fake verification stamp.,Builder used forged stamp to cheat buyers.,Gram sevak accepted fake stamped application.,Can we get refund if stamp was fake?,A boy used stamp to prove fake land transfer.
252,Counterfeiting seal or instrument,Our village seal was misused on wrong letter.,Someone faked school seal on experience certificate.,Panchayat letter had wrong signature and seal.,Fake seal was used for ration card approval.,My cousin was caught with forged NGO stamp.,They sealed fake approval on wall notice.,Officer found duplicate rubber seal on report.,He copied official seal on his certificate.,Can fake seal use send someone to jail?,Fake certificate bore health officer’s seal.
253(a),Counterfeit of weight or measure,I bought 5kg rice but it was less in weight.,Shopkeeper uses tampered weight in scale.,Can fake measuring instruments be punished?,We found weight machine was not balanced.,Milkman gives less milk using fake measure.,My neighbor found his goods underweighed always.,He used bigger cup for oil but less inside.,Can we report fake weighing machine?,He added extra iron in weight stone.,Village trader cheats using wrong weight.
253(b),Using counterfeit weight/measure,A man was caught selling pulses with wrong weight.,Shopkeeper gave 950gm instead of 1kg.,We found his machine was always tilted.,Someone used bigger volume for less quantity.,We bought vegetables but always felt cheated.,Our sugar bags were underfilled at store.,LPG dealer gave less gas in cylinder.,Local trader gives petrol with false reading.,How to check fake weighing tools?,We compared weights and found mismatch.
253(c),Making or selling counterfeit weight/measure,He made false weights and sold to shopkeepers.,Can people making fake weights be jailed?,Our neighbor was selling altered weights in market.,Factory sold scales that don’t measure right.,They made fake liter measures for oil sale.,Tool seller gave faulty measuring tape.,He fixed false readings on digital machine.,Traders used fake kg stones to cheat.,I got measuring jar but it was not accurate.,Store owner sells fake scales to all shops.
254,Personation to get government service,My friend used someone else's documents for job.,A man got pension using dead father's name.,He pretended to be ex-army to get benefits.,False identity was used to become teacher.,Can we report someone who used fake ID?,My cousin got job using someone else’s papers.,He used his brother's certificate to apply.,Old man was getting two pensions under two names.,Is government cheating punishable by jail?,Someone gave fake name to get land grant.
255,Public servant making false records,The Patwari entered wrong name in land record.,Our BDO officer changed list entries illegally.,Can officers be punished for tampering data?,My pension papers were modified without my consent.,Gram sevak made wrong entry in MGNREGA list.,Revenue official showed more land than actual.,Anganwadi register has ghost entries.,Bank record shows false amount credited.,Clerk altered beneficiary list before distribution.,My name was missing despite filling form.
